DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/12/2022,"Dir, Contact Center",Thrivent,thrivent.com,"Financial Services",,Remote,,"Remote in Minneapolis",MN,""
2/13/2022,"Data Warehousing/ ETL Consultant",Deloitte,deloitte.com,"Management Consulting","$95K ? $120K a year",,"Downtown West area",Minneapolis,MN,"55402"
2/12/2022,"HR Functional Analyst - Workday HCM - Remote","U.S. Bank",whitefortcapital.com,,"$95,540 - $112,400 a year",Remote,,"Remote in Minneapolis",MN,""
2/11/2022,"Digital Workplace Content Manager - DAS Unity & Collaboratio...",Deloitte,deloitte.com,"Management Consulting","$69.2K ? $87.6K a year",,"Downtown West area",Minneapolis,MN,"55402"
2/12/2022,"District Manager, Minneapolis","Amazon Web Services, Inc.",,,,,,Minneapolis,MN,""
2/12/2022,"Transformation Architect",Accenture,cazoodle.com,"Computer Software","$81.7K ? $103K a year",,,Minneapolis,MN,""
2/12/2022,"Litigation Docket Specialist (Flexible Remote)","Greenberg Traurig",gtlaw.com,"Law Practice",,Remote,,"Remote in Minneapolis",MN,""
2/12/2022,"Assistant Account Director, CPG",NielsenIQ,,,,,,Minneapolis,MN,""
2/12/2022,"Engagement Manager","Amazon Web Services, Inc.",,,"$122,300 a year",,,Minneapolis,MN,""
2/13/2022,"Lead Business Execution Consultant","WELLS FARGO BANK",wellsfargo.com,"Financial Services","$79.3K ? $100K a year",,,Minneapolis,MN,""
2/12/2022,"Adobe Experience Platform",Accenture,cazoodle.com,"Computer Software","$91.1K ? $115K a year",,,Minneapolis,MN,""
2/12/2022,"Lead Enterprise Risk Officer - EUCT Governance","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Minneapolis,MN,""
2/12/2022,"Adobe Experience Manager (AEM) Application Architect",Accenture,cazoodle.com,"Computer Software","$111K ? $141K a year",,,Minneapolis,MN,""
2/12/2022,"Pega Developer/Architect - Location Open",Deloitte,deloitte.com,"Management Consulting","$110K ? $139K a year",,"Downtown West area",Minneapolis,MN,"55402"
2/12/2022,"Assistant Account Development Director",NielsenIQ,,,,,,Minneapolis,MN,""
2/12/2022,"Associate Client Director - (Account Development)",NielsenIQ,,,,,,Minneapolis,MN,""
2/12/2022,"Assistant Client Director (Client Development)",NielsenIQ,,,"$79.7K ? $101K a year",,,Minneapolis,MN,""
2/14/2022,"Customer Experience Business Consultant","Tech Intellectuals",techintellectuals.com,"Computer Software","Up to $150,000 a year",,,Minneapolis,MN,""
2/13/2022,"Vice President, Talent Development","NorthRock Partners",northrockpartners.com,"Financial Services",,,"Downtown West area",Minneapolis,MN,"55402"
2/13/2022,"Director of Finance","World Savvy",worldsavvy.org,"Education Management","$100,000 - $115,000 a year",Remote,,"Hybrid remote in Minneapolis",MN,""
2/12/2022,"Bridge Practice Leader","Bloom Companies, LLC",bloomcos.com,"Civil Engineering","$86.1K ? $109K a year",,,Minneapolis,MN,"55439"
2/13/2022,"Director, Marketing","Redbrick Technologies Inc.",rdbrck.com,"Computer Software","$118K ? $149K a year",Remote,,"Remote in Minneapolis",MN,""
2/12/2022,"Director - BI Actuarial Product CMP","The Travelers Companies, Inc.",,,,,,"Saint Paul",MN,"55127"
2/13/2022,"Director of Events","Ewald Consulting",ewald.com,"Nonprofit Organization Management","$81.2K ? $103K a year",,"Saint Anthony area","Saint Paul",MN,"55114"
2/12/2022,"Manager, Software Development","DataLink Fund Solutions",datalinksoftware.com,"Information Technology & Services","$104K ? $132K a year",,,"Saint Paul",MN,"55111"
2/13/2022,"HTM Director (Section Head)","Mayo Clinic",mayoclinic.org,"Hospital & Health Care","$92.7K ? $117K a year",Remote,,"Remote in Rochester",MN,""
