DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-05-15,"Internal Revenue Agent (Excise Tax Specialist)","US Internal Revenue Service",irs.gov,"Government Administration","$44,740 - $71,441 a year",,,"Little Rock",AR,""
2022-05-14,"Work From Home Customer Service - Luxury Handbag Retailer","The Virtual Call Center, Inc",,,"$12 an hour",Remote,,"Remote in Little Rock",AR,"72203"
2022-05-15,"Full-Time Merchandiser","Coca-Cola Consolidated, Inc.",,,,,,"Little Rock",AR,"72002"
2022-05-15,"Work From Home Customer Service - Interactive Fitness Retail...","The Virtual Call Center, Inc",,,"$12 an hour",Remote,,"Remote in Little Rock",AR,"72206"
2022-05-15,"Financial Services Coordinator","Arkansas Association of Educational Administrators",,,"$39.7K - $50.3K a year",,,"Little Rock",AR,"72201"
2022-05-14,"Team Member and Team Leader","Tropical Smoothie Cafe",tropicalsmoothiecafe.com,Restaurants,,,,"Little Rock",AR,"72223"
2022-05-14,"Warehouse Worker","Arkansas Electric Cooperative Corporation",aecc.com,Utilities,,,,"Little Rock",AR,"72209"
2022-05-16,"Mail/Backup Courier","Gainwell Technologies",gainwelltechnologies.com,"Information Technology & Services",,,,"Little Rock",AR,"72201"
2022-05-14,"Laboratory Aide I","Arkana Laboratories",arkanalabs.com,"Medical Practice",,,,"Little Rock",AR,""
2022-05-14,"Project Coordinator, Remote",ICF,icf.com,"Management Consulting",,Remote,,"Remote in Little Rock",AR,""
2022-05-14,"Team Member and Team Leader","Tropical Smoothie Cafe",tropicalsmoothiecafe.com,Restaurants,,,,"Little Rock",AR,"72210"
2022-05-14,"Administrative Specialist III","University of Arkansas at Little Rock",ualr.edu,"Higher Education",,,,"Little Rock",AR,"72204"
2022-05-15,"Patient Access Representative I, GI Clinic, Mon-Fri 8a-4:30p","Arkansas Children's Hospital",archildrens.org,"Hospital & Health Care","$33K - $41.8K a year",,,"Little Rock",AR,""
2022-05-14,"Medical Assistant- Student Employee Health","UAMS Medical Center",uamshealth.com,"Hospital & Health Care",,,,"Little Rock",AR,"72205"
2022-05-15,"Teaching Assistant /Paraprofessional","Easterseals Arkansas",eastersealsopts.org,"Individual & Family Services",,,,"Little Rock",AR,"72212"
2022-05-14,"ADMINISTRATIVE FELLOW","Baptist Health Arkansas",,,,,,"Little Rock",AR,"72205"
2022-05-15,"Patient Care Technician","UAMS Medical Center",uamshealth.com,"Hospital & Health Care",,,,"Little Rock",AR,"72205"
