DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-24,"Events Specialist","MOORE NORMAN TECHNOLOGY CENTER",mntc.edu,"Education Management","$45,915 - $47,025 a year",,,"Oklahoma City",OK,"73170"
2022-03-23,"MANAGEMENT SPECIALIST","City of Oklahoma City",okc.gov,"Government Administration","$62,995 - $96,382 a year",,,"Oklahoma City",OK,""
2022-03-23,"Facility Operations Supervisor","Life Time",mylifetime.com,"Broadcast Media",,,,"Oklahoma City",OK,"73134"
2022-03-22,"Patient Access Supervisor","Variety Care, Inc.",varietycare.org,"Hospital & Health Care","$34.8K ? $44K a year",,,"Oklahoma City",OK,"73116"
2022-03-23,"Human Resources Asst. / Receptionist","Oklahoma City Community College",occc.edu,"Higher Education","$14.42 - $16.83 an hour",,"I-240 Corridor area","Oklahoma City",OK,"73159"
2022-03-22,"Human Resources Manager (Human Resources)","Department of Corrections",dc.state.fl.us,"Charitable Organizations & Foundations, Organizations","$6,020 a month",,,"Oklahoma City",OK,""
2022-03-22,"Appeals Workforce Specialist","Employment Security Commission",ncesc.com,,"$39,080 a year",,,"Oklahoma City",OK,""
2022-03-23,"Assistant General Manager - CCH","The Ellison Hotel",ellisonhotel.com,Hospitality,"$41.6K ? $52.6K a year",,"Northwest 39th Street Enclave area","Oklahoma City",OK,"73118"
2022-03-22,"Executive Assistant to the Director of Operations","Department of Transportation",glifwc.org,"Government , Animals & Livestock , Agriculture","$55,900 a year",,,"Oklahoma City",OK,"73114"
2022-03-23,"Remote State Agency Manager","First American",firstgroup.co,,,Remote,,"Remote in Oklahoma City",OK,""
2022-03-24,"Individual Licensing Coordinator","Cosmetology and Barbering Board",,,"$35,200 a year",,,"Oklahoma City",OK,""
2022-03-24,"EHR Trainer","Variety Care, Inc.",varietycare.org,"Hospital & Health Care","$28.7K ? $36.3K a year",,"Meridian Avenue Corridor area","Oklahoma City",OK,"73107"
2022-03-23,"Business Analyst - Health Information Management","Integris Health",integrisok.com,"Hospital & Health Care",,,"Mayfair area","Oklahoma City",OK,""
2022-03-22,"Taxpayer Services Representative III","Tax Commission",utah.gov,"Government Administration","$41,231 a year",,"Capitol Campus area","Oklahoma City",OK,"73194"
2022-03-22,"Portfolio Consultant - Realty","Integris Health",integrisok.com,"Hospital & Health Care",,,"Mayfair area","Oklahoma City",OK,""
2022-03-24,"Development Officer","Oklahoma City Museum of Art",okcmoa.com,"Museums & Institutions","$45.9K ? $58.1K a year",,"Arts District area","Oklahoma City",OK,"73102"
2022-03-23,"ASSISTANT DIRECTOR - DEVELOPMENT SERVICES","City of Oklahoma City",okc.gov,"Government Administration","$39.3K ? $49.7K a year",,,"Oklahoma City",OK,""
2022-03-23,"Associate Sales Representative","Smith & Nephew",smith-nephew.com,"Medical Devices",,,"Meridian Avenue Corridor area","Oklahoma City",OK,"73107"
2022-03-24,"Talent Recruiting Manager",Deloitte,deloitte.com,"Management Consulting",,,"Central Business District area","Oklahoma City",OK,"73102"
2022-03-22,"Administrative Assistant","Variety Care, Inc.",varietycare.org,"Hospital & Health Care","$30.4K ? $38.6K a year",,,"Oklahoma City",OK,"73112"
2022-03-22,"Commercial Real Estate Loan Officer","Oklahoma Fidelity Bank",,,"$44.8K ? $56.8K a year",,,"Oklahoma City",OK,"73114"
2022-03-22,"Project Manager Analyst III","Tinker Federal Credit Union",tinkerfcu.org,"Financial Services","$63,144 - $78,929 a year",,"Meridian Avenue Corridor area","Oklahoma City",OK,"73108"
2022-03-23,"Technical Documentation Coordinator II (Administrative Coord...","Smith & Nephew",smith-nephew.com,"Medical Devices",,,"Meridian Avenue Corridor area","Oklahoma City",OK,"73107"
2022-03-22,"Residential Loan Officer","Oklahoma Fidelity Bank",,,"$59.5K ? $75.3K a year",,,"Oklahoma City",OK,"73120"
2022-03-22,"Account Executive - Home Infusion","Paragon Healthcare, Inc.",paragonhealthcare.com,"Hospital & Health Care",,,,"Oklahoma City",OK,"73130"
2022-03-22,"Application System Admin I","BancFirst Corporation",bancfirst.bank,Banking,"$49.6K ? $62.8K a year",,"Central Business District area","Oklahoma City",OK,"73102"
2022-03-22,"Commercial Real Estate Loan Officer","Fidelity Bank, NA",fidelitybank.com,"Financial Services","$44.8K ? $56.8K a year",,,"Oklahoma City",OK,"73114"
2022-03-21,"Supervisor-Patient Access-Premium pay for ER",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-22,"Case Management Specialist II","The Salvation Army",salvationarmyfortwalton.org,Retail,,,,"Oklahoma City",OK,""
2022-03-23,"Purchasing Manager - Tulsa","D.R. Horton",drhorton.com,Construction,,,,"Oklahoma City",OK,"73142"
2022-03-23,"Inventory Analyst 1","Smith & Nephew",smith-nephew.com,"Medical Devices",,,"Meridian Avenue Corridor area","Oklahoma City",OK,"73107"
2022-03-22,"Instrument Flight Procedures Specialist",Leidos,opera.org.au,"Performing Arts",,,,"Oklahoma City",OK,"73135"
2022-03-22,"Lobby Supervisor II","Tinker Federal Credit Union",tinkerfcu.org,"Financial Services","$49,246 - $61,557 a year",,,"Oklahoma City",OK,"73111"
2022-03-22,"Pre-Registration/Insurance Verification Representative, 10:3...","OU Health",ouhealth.com,"Hospital & Health Care",,,,"Oklahoma City",OK,""
2022-03-23,"Quality Technician II","Smith & Nephew",smith-nephew.com,"Medical Devices",,,"Meridian Avenue Corridor area","Oklahoma City",OK,"73107"
2022-03-24,"Multi-Site Healthcare Operations Manager","GoHealth Urgent Care",gohealthuc.com,"Hospital & Health Care","$36.8K ? $46.6K a year",,,"Oklahoma City",OK,"73162"
2022-03-22,"Development Events & Marketing Coordinator","Oklahoma Medical Research Foundation",omrf.org,Research,"$37.9K ? $48.1K a year",,"Lincoln Terrace area","Oklahoma City",OK,"73104"
2022-03-22,"SOUTHWEST REGION FOODSERVICE SALES MANAGER","JBS USA Food Company",jbssa.com.au,"Food Production",,Remote,,"Remote in Oklahoma City",OK,"73170"
2022-03-24,"Commercial Client Services Associate-QA","MidFirst Bank",midfirst.com,Banking,,,,"Oklahoma City",OK,""
2022-03-22,"Residential Loan Officer","Fidelity Bank, NA",fidelitybank.com,"Financial Services","$59.5K ? $75.3K a year",,,"Oklahoma City",OK,"73120"
2022-03-23,"MANAGEMENT SPECIALIST","The City of Oklahoma City",,,"$62,995 a year",,,"Oklahoma City",OK,"73102"
2022-03-24,"Manager-Business Operations, Full Time Hiring Now",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-22,"Instrument Flight Procedures Specialist",Leidos,opera.org.au,"Performing Arts",,,,"Oklahoma City",OK,"73135"
2022-03-24,"Airfield Manager (Antarctica Support Contract)",Leidos,opera.org.au,"Performing Arts",,,,"Oklahoma City",OK,"73134"
2022-03-23,"Mobile Tester",Deloitte,deloitte.com,"Management Consulting",,,"Central Business District area","Oklahoma City",OK,"73102"
2022-03-24,"Airfield Manager (Antarctica Support Contract)",Leidos,opera.org.au,"Performing Arts",,,,"Oklahoma City",OK,"73134"
2022-03-22,"Commercial Banker","Oklahoma Fidelity Bank",,,"$46.7K ? $59.1K a year",,,"Oklahoma City",OK,"73114"
2022-03-22,"Appeals Workforce Specialist","Employment Security Commission",ncesc.com,,"$39,080 a year",,,"Oklahoma City",OK,""
2022-03-22,"Vice President, Inclusion and Diversity - Oklahoma City Thun...","Oklahoma City Thunder",okcthunder.com,Sports,"$54.2K ? $68.6K a year",,,"Oklahoma City",OK,""
2022-03-24,"PHYSICIAN'S ASSISTANT","City of Oklahoma City",okc.gov,"Government Administration","$72,934 - $111,499 a year",,,"Oklahoma City",OK,""
2022-03-24,"Staff Professional","Building & Earth Sciences",buildingandearth.com,,"$49.7K ? $62.9K a year",,,"Oklahoma City",OK,"73114"
2022-03-23,"Digital Strategist","VI Marketing and Branding",vimarketingandbranding.com,"Marketing & Advertising","$53.7K ? $67.9K a year",,,"Oklahoma City",OK,"73102"
2022-03-24,"Commercial Escrow Officer Hybrid","First American",firstgroup.co,,,,,"Oklahoma City",OK,""
2022-03-22,"Env Safety Emergency Mgmt Spec",Mercy,mercy.net,"Hospital & Health Care",,,,"Oklahoma City",OK,"73120"
2022-03-22,"Executive Assistant to the Director of Operations","Department of Transportation",glifwc.org,"Government , Animals & Livestock , Agriculture","$55,900 a year",,,"Oklahoma City",OK,"73114"
2022-03-24,"Sales Manager at Northhaven Place",Enlivant,enlivant.com,"Hospital & Health Care",,,,"Oklahoma City",OK,"73162"
2022-03-22,"Payroll Lead",CACI,caci.com,"Information Technology & Services",,,,"Oklahoma City",OK,"73169"
2022-03-24,"Air Traffic Control Instructor - Academy - En Route - FT",SAIC,spacedev.com,"Defense & Space",,,,"Oklahoma City",OK,"73125"
