DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-09-01,Interpreter,Mercy,mercy.net,"Hospital & Health Care",,,,"St. Louis",MO,"63141"
2022-09-01,"Patient Sitter","SSM Health",ssmhealth.com,"Hospital & Health Care",,,"Lafayette Square area)","St. Louis",MO,"63104"
2022-08-31,"Registration Representative","SSM Health",ssmhealth.com,"Hospital & Health Care",,,,"St. Louis",MO,"63103"
2022-08-27,"House Cleaner/Housekeeper - Paid Wkly/Holiday Pay","Two Ladies & A Bucket",twoandabucket.com,Hospitality,"up to $25 an hour",,,"St. Louis",MO,""
2022-08-31,"Virtual National Sales Coordinator","Drury Hotels",druryhotels.com,Hospitality,"$20 an hour",Remote,,"Remote in St. Louis",MO,"63131"
2022-09-01,"Clinic Contact Center - Patient Service Agent, Full Time",Mercy,mercy.net,"Hospital & Health Care",,,,"St. Louis",MO,"63141"
2022-08-30,"Flight Attendant STL","GoJet Airlines LLC.",gojetairlines.com,Airlines/Aviation,"$19.29 per flight hour",,,"St. Louis",MO,"63145"
2022-08-31,"Food Service Worker","US Veterans Health Administration",va.gov,"Government Administration","$19.35 - $22.57 an hour",,,"St. Louis",MO,""
2022-09-01,"Clinic Contact Center - Patient Service Agent, Full Time",Mercy,mercy.net,"Hospital & Health Care",,,,"St. Louis",MO,"63141"
2022-09-01,"Wine & Spirits Merchandiser","Lohr Distributing Co",lohrdist.com,Wholesale,"$16.00 - $16.50 an hour",,"Lafayette Square area)","St. Louis",MO,"63104"
2022-09-01,"TECH., UTILITY-13",Anheuser-Busch,anheuser-busch.com,"Food & Beverages",,,,"St. Louis",MO,""
2022-09-01,"Food Service Tech I, Full-Time",Mercy,mercy.net,"Hospital & Health Care","estimated $23.1k - $29.3k a year",,,"St. Louis",MO,"63128"
2022-08-31,"Warehouse Delivery Driver","UNITED PARCEL SERVICE",ups.com,"Logistics & Supply Chain","$20.50 an hour",,,"St. Louis",MO,"63103"
2022-08-31,"Patient Accounts Representative","SSM Health",ssmhealth.com,"Hospital & Health Care",,,,"St. Louis",MO,"63103"
2022-08-30,"Customer Care Representative I","Elevance Health",,,"estimated $28.5k - $36.1k a year",,,"St. Louis",MO,""
2022-08-31,"Museum Shop - Sales Associate","Saint Louis Art Museum",slam.org,"Museums & Institutions","$15.89 an hour",,"Botanical Heights area)","St. Louis",MO,"63110"
2022-08-31,"Museum Shop - Sales Associate","Saint Louis Art Museum",slam.org,"Museums & Institutions","$15.89 an hour",,"Botanical Heights area)","St. Louis",MO,"63110"
2022-09-01,"Linen Supply Chain Tech Days",Mercy,mercy.net,"Hospital & Health Care","$15 an hour",,,"St. Louis",MO,"63141"
2022-08-31,"Warehouse Worker","ORS Nasco",orsnasco.com,Wholesale,,,"Saint Louis Place area)","St. Louis",MO,"63106"
2022-09-01,"Patient Access Rep - On-Site - South County",Mercy,mercy.net,"Hospital & Health Care","estimated $22.8k - $28.8k a year",,,"St. Louis",MO,"63128"
2022-08-31,"Quality Assurance Specialist","US Defense Contract Management Agency",dcma.mil,"Defense & Space","$67,439 - $87,667 a year",Remote,,"Temporarily Remote in St. Louis",MO,""
2022-08-30,"Production Specialist - Entry Level","Corza Medical",,,"estimated $30.3k - $38.3k a year",,,"St. Louis",MO,""
2022-09-01,"Medical Receptionist - Women's Health",Mercy,mercy.net,"Hospital & Health Care","estimated $28.6k - $36.2k a year",,,"St. Louis",MO,"63141"
2022-09-01,"Mattel Merchandiser Seasonal Associate - St Louis MO 63109",Mattel,mattel.com,"Consumer Goods","estimated $27.5k - $34.9k a year",,,"St. Louis",MO,""
2022-09-01,"Housekeeping Positions in So Co - Hiring Now",Mercy,mercy.net,"Hospital & Health Care",,,,"St. Louis",MO,"63128"
2022-09-01,"Non Clinical Surgical Services Assistant",Mercy,mercy.net,"Hospital & Health Care","estimated $38.1k - $48.3k a year",,,"St. Louis",MO,"63141"
2022-09-01,"Outreach and Enrollment Specialist","Legal Services of Eastern Missouri",,,"estimated $34.4k - $43.6k a year",,"Central West End area)","St. Louis",MO,"63108"
2022-09-01,"NICU Advisor",Mercy,mercy.net,"Hospital & Health Care","estimated $30.7k - $38.9k a year",,,"St. Louis",MO,"63141"
2022-09-01,"FOOD TRANSPORTER/DELIVERY DRIVER (FULL & PART-TIME)","Fresh Ideas",,,,,,"St. Louis",MO,"63141"
2022-09-01,"Shop laborer",WM,,,,,,"St. Louis",MO,""
2022-09-01,"CASHIER (FULL & PART-TIME)","Fresh Ideas",,,,,,"St. Louis",MO,"63141"
2022-08-30,"Customer Service Associate - Full Time - Weekly Pay","Two Ladies & A Bucket",twoandabucket.com,Hospitality,"$16 - $18 an hour",,,"St. Louis",MO,""
2022-09-01,"Administrative Assistant",Mercy,mercy.net,"Hospital & Health Care","estimated $32.9k - $41.7k a year",,,"St. Louis",MO,"63141"
2022-09-01,"FOOD SVC WORKER (FULL & PART-TIME)","Fresh Ideas",,,,,,"St. Louis",MO,"63141"
