DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-07-09,"Inside Sales (Work From Home)","J. J. Keller & Associates, Inc.",jjkeller.com,Publishing,"$50,000 - $70,000 a year",Remote,,"Remote in Milwaukee",WI,""
2022-07-09,"Initial Assessment Specialist","State of Wisconsin",wisc.jobs,"Government Administration","$24.60 an hour",Remote,,"Remote in Milwaukee",WI,""
2022-07-09,"Entry Level - Surveillance Investigator","DigiStream Investigations",digistream.com,Insurance,"$40,000 - $45,000 a year",,,Milwaukee,WI,""
2022-07-09,"Supv Ramp","South West",,,"$22.26 an hour",,"Tippecanoe area)",Milwaukee,WI,"53207"
2022-07-09,"Clinical Research Assistant I","Medical College of Wisconsin",mcw.edu,"Higher Education",,,,Milwaukee,WI,"53226"
2022-07-09,"Sales Associate","Milwaukee Bucks",nba.com,Sports,,,"Schlitz Park area)",Milwaukee,WI,"53212"
2022-07-08,"Associate Compliance Analyst",Deloitte,deloitte.com,"Management Consulting",,,"Juneau Town area)",Milwaukee,WI,"53202"
2022-07-09,"Human Resources Manager - The Pfister Hotel","Pfister Hotel",thepfisterhotel.com,Hospitality,,,"Juneau Town area)",Milwaukee,WI,"53202"
2022-07-09,"Client Services Specialist-Objective - Milwaukee Trial","State of Wisconsin",wisc.jobs,"Government Administration","$17.78 - $30.80 an hour",,,Milwaukee,WI,""
2022-07-09,"Industrial Specialist (General)","US Defense Contract Management Agency",dcma.mil,"Defense & Space","$66,214 - $89,867 a year",Remote,,"Temporarily Remote in Milwaukee",WI,""
2022-07-08,"Executive Team Leader GM & Grocery (Assistant Manager Genera...",TARGET,target.com,Retail,,,,Milwaukee,WI,"53214"
2022-07-09,"Associate - Community Partnerships","Wisconsin Conservatory Of Music",wcmusic.org,Music,"$34,000 - $36,000 a year",,"Lower East Side area)",Milwaukee,WI,"53202"
2022-07-09,"Independence Compliance Analyst",Deloitte,deloitte.com,"Management Consulting",,,"Juneau Town area)",Milwaukee,WI,"53202"
2022-07-09,"Engineering Admin Assistant Full-time - Hilton Milwaukee Cit...","Hilton Milwaukee",,,,,"Kilbourn Town area)",Milwaukee,WI,"53203"
