DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-05-14,"INDUSTRIAL SECURITY SPECIALIST","US Defense Counterintelligence and Security Agency",,,"$98,141 - $127,582 a year",,,Phoenix,AZ,""
2022-05-16,"CUSTOMER SERVICE REPRESENTATIVE","State of Arizona",az.gov,"Government Administration","$34,189 a year",Remote,,"Remote in Phoenix",AZ,"85007"
2022-05-14,"Data Entry Specialist","Avesis, Incorporated",,,,,"North Mountain area",Phoenix,AZ,"85021"
2022-05-13,"Staff Physician","Phoenix Children's Hospital",phoenixchildrens.com,"Hospital & Health Care",,,,Phoenix,AZ,""
2022-05-13,"Manager Social Services","Steward Health Care",steward.org,"Hospital & Health Care",,,"Encanto area",Phoenix,AZ,"85006"
2022-05-14,"Amazon Fulfillment Center Warehouse Associate","Amazon HVH",,,,,"Estrella area",Phoenix,AZ,"85043"
2022-05-13,"New Orders Specialist","First American Financial Corporation",,,,,,Phoenix,AZ,""
2022-05-14,"RULES ANALYST","State of Arizona",az.gov,"Government Administration","$39,983 - $71,564 a year",Remote,,"Remote in Phoenix",AZ,"85007"
2022-05-15,"Client HR Business Partner I","Paychex, LLC",,,"$62.6K - $79.2K a year",Remote,,"Remote in Phoenix",AZ,"85053"
2022-05-13,"Residence Specialist Sales Consultant","CRS Temporary Housing",crsth.com,Insurance,"Up to $100,000 a year",Remote,,"Remote in Phoenix",AZ,"85029"
2022-05-14,"Financial Services Specialist","Arizona Department Of Public Safety",azdps.gov,"Law Enforcement","$39,397 - $52,064 a year",Remote,,"Hybrid remote in Phoenix",AZ,"85009"
2022-05-14,"Gardener Apprentice","City of Phoenix",phoenix.gov,"Government Administration",,,"Central City area",Phoenix,AZ,"85003"
2022-05-14,"Inbound Contacts Representative - Remote",Humana,humana.com,"Health, Wellness & Fitness",,Remote,,"Remote in Phoenix",AZ,"85050"
2022-05-15,"CUSTOMER SERVICE REPRESENTATIVE - LICENSING DEPARTMENT","State of Arizona",az.gov,"Government Administration","$40,000 a year",,"Central City area",Phoenix,AZ,"85007"
2022-05-15,"Work From Home Customer Service - Luxury Handbag Retailer","The Virtual Call Center, Inc",,,"$12 an hour",Remote,,"Remote in Phoenix",AZ,"85009"
2022-05-13,"Virtual Patient Support Specialist - Phoenix","Mayo Clinic",mayoclinic.org,"Hospital & Health Care","$17.16 - $23.18 an hour",,"Desert View area",Phoenix,AZ,"85054"
2022-05-15,"Early Career Administrative Assistant","Cambridge Investment Research, Inc.",joincambridge.com,"Financial Services","$31.2K - $39.6K a year",,"Encanto area",Phoenix,AZ,"85004"
2022-05-16,"Maintenance Administrative and Supply Technician","U.S. Army Reserve Command",,,"$46,527 - $60,480 a year",,,Phoenix,AZ,""
2022-05-15,"Client Onboarding Consultant (Remote)",Popmenu,popmenu.com,Internet,"$55,000 - $60,000 a year",Remote,,"Remote in Phoenix",AZ,""
2022-05-14,"Historic Preservation Planner - Planner I","City of Phoenix",phoenix.gov,"Government Administration",,,"Central City area",Phoenix,AZ,"85003"
2022-05-13,"Behavioral Health Technician","Steward Health Care",steward.org,"Hospital & Health Care",,,"Encanto area",Phoenix,AZ,"85006"
2022-05-13,"Staff Psychologist","Phoenix Children's Hospital",phoenixchildrens.com,"Hospital & Health Care","$70.6K - $89.4K a year",,,Phoenix,AZ,""
2022-05-13,Greeter,"Marriott International, Inc",,,,,"Central City area",Phoenix,AZ,"85004"
2022-05-13,"Customer Service Representative","Secured Alliance, Inc.",,,"$18 - $24 an hour",,,Phoenix,AZ,""
2022-05-13,"Business Analyst",U-Haul,uhaul.com,Retail,,,"Encanto area",Phoenix,AZ,"85004"
2022-05-13,"In-Room Dining Server","Marriott International, Inc",,,,,"Desert View area",Phoenix,AZ,"85054"
2022-05-15,"Product Owner II","Cambridge Investment Research, Inc.",joincambridge.com,"Financial Services","$100K - $127K a year",,"Encanto area",Phoenix,AZ,"85004"
2022-05-15,"Financial Professional Administrative Assistant","Cambridge Investment Research, Inc.",joincambridge.com,"Financial Services","$37.7K - $47.7K a year",,"Encanto area",Phoenix,AZ,"85004"
2022-05-15,"Front Office Assistant","Risas Dental Management",risasdental.com,"Medical Practice","$29.1K - $36.9K a year",,"North Mountain area",Phoenix,AZ,"85029"
2022-05-16,"Work From Home Customer Service - Luxury Handbag Retailer","The Virtual Call Center, Inc",,,"$12 an hour",Remote,,"Remote in Phoenix",AZ,"85018"
2022-05-14,"Carpenter Apprentice","Reborn Cabinets, Inc.",,,"$22 an hour",,,Phoenix,AZ,""
2022-05-15,"Instructional Aide - Heights 2022/2023 SY (2 Positions Avail...","Madison Elementary School District",madisonaz.org,"Education Management","$12.80 - $19.29 an hour",,"North Mountain area",Phoenix,AZ,"85020"
2022-05-13,"CUSTOMER SERVICE UNIT SUPERVISOR","State of Arizona",az.gov,"Government Administration","$31,110 - $34,237 a year",,"Central City area",Phoenix,AZ,"85007"
2022-05-15,"Account Executive - West Region","Scaled Agile Inc",scaledagile.com,"Management Consulting",,Remote,,"Remote in Phoenix",AZ,""
2022-05-14,"Dir, Sports Physical Therapy Svcs","Phoenix Children's Hospital",phoenixchildrens.com,"Hospital & Health Care","$57.4K - $72.6K a year",,"Encanto area",Phoenix,AZ,"85016"
2022-05-14,"Work From Home Customer Service - Luxury Handbag Retailer","The Virtual Call Center, Inc",,,"$12 an hour",Remote,,"Remote in Phoenix",AZ,"85020"
2022-05-13,"LIBRARY ASSOCIATE","State of Arizona",az.gov,"Government Administration","$15.75 - $17.00 an hour",,"Central City area",Phoenix,AZ,"85009"
2022-05-13,"CUSTOMER SERVICE REPRESENTATIVE","State of Arizona",az.gov,"Government Administration","$26,754 a year",,"Encanto area",Phoenix,AZ,"85015"
2022-05-13,"Entry- Level Underwriter",Upgrade,upgrade.com,"Marketing & Advertising","$24 an hour",,"Central City area",Phoenix,AZ,"85004"
2022-05-14,"Solid Waste Equipment Operator Apprentice","City of Phoenix",phoenix.gov,"Government Administration",,,"Central City area",Phoenix,AZ,"85003"
2022-05-14,"ADMINISTRATIVE ASSISTANT","State of Arizona",az.gov,"Government Administration","$13.65 an hour",,"Deer Valley area",Phoenix,AZ,"85027"
2022-05-13,"Customer Service Rep","Avis Budget Group",avisbudgetgroup.com,"Leisure, Travel & Tourism",,,,Phoenix,AZ,""
2022-05-15,"TRAINING OFFICER","State of Arizona",az.gov,"Government Administration","$48,849 a year",,"Central City area",Phoenix,AZ,"85007"
2022-05-13,"Enterprise Business Operations Analyst - Work From Home (mus...",HonorHealth,honorhealth.com,"Hospital & Health Care",,Remote,,"Remote in Phoenix",AZ,"85027"
2022-05-15,"Bilingual Customer Service Associate","Paychex, LLC",,,,Remote,,"Remote in Phoenix",AZ,"85053"
2022-05-15,Storekeeper,"United Airlines Inc.",united.com,Airlines/Aviation,"$15.33 an hour",,"Central City area",Phoenix,AZ,"85002"
2022-05-16,"Shortage Control Associate Lead","Burlington Stores",burlingtonstores.jobs,,,,"North Mountain area",Phoenix,AZ,"85029"
2022-05-13,"Loan Verification Specialist",Prosper,prospering.com,"Professional Training & Coaching",,Remote,,"Temporarily Remote in Phoenix",AZ,"85016"
2022-05-13,"Lab Assistant",Labcorp,labcorp.com,"Hospital & Health Care",,,,Phoenix,AZ,"85018"
2022-05-15,"OUTREACH COORDINATOR","State of Arizona",az.gov,"Government Administration","$45,000 - $50,000 a year",Remote,,"Remote in Phoenix",AZ,"85012"
2022-05-15,"DEPUTY BUSINESS ADMINISTRATOR","State of Arizona",az.gov,"Government Administration","$91,000 a year",Remote,,"Remote in Phoenix",AZ,"85007"
2022-05-14,"GRAPHIC DESIGNER II","State of Arizona",az.gov,"Government Administration","$41,500 - $51,500 a year",,"Central City area",Phoenix,AZ,"85007"
2022-05-15,"Executive Talent Acquisition Coordinator","Republic Services",republicservices.com,"Environmental Services",,,"Desert View area",Phoenix,AZ,"85054"
2022-05-13,"ADMINISTRATIVE ASSISTANT","State of Arizona",az.gov,"Government Administration",,,"North Mountain area",Phoenix,AZ,"85021"
2022-05-13,"Loan Documentation Specialist","Western Alliance Bank",westernalliancebancorporation.com,Banking,,,,Phoenix,AZ,""
2022-05-14,"Community Justice Specialist/Criminal Justice Administrative...","City of Phoenix",phoenix.gov,"Government Administration",,,"Central City area",Phoenix,AZ,"85003"
2022-05-15,"HOTLINE SUPPORT INTERMEDIATE ASSOCIATE","State of Arizona",az.gov,"Government Administration","$18.40 an hour",Remote,,"Remote in Phoenix",AZ,"85007"
2022-05-15,"Online Service Representative - Time & Attendance","Paychex, LLC",,,,,"Deer Valley area",Phoenix,AZ,"85053"
2022-05-14,"Supervisory Loan Specialist (Rlty)","US Agriculture, Rural Development",,,"$98,141 - $127,582 a year",,,Phoenix,AZ,""
2022-05-14,"AZHOSA STATE ADVISOR","State of Arizona",az.gov,"Government Administration","$58,000 - $65,000 a year",,"Central City area",Phoenix,AZ,"85007"
2022-05-13,"Transformation & Integration Analyst - West Division",PepsiCo,pepsico.com,"Food & Beverages","$68,000 - $98,000 a year",,,Phoenix,AZ,""
2022-05-13,"CUSTOMER SERVICE REPRESENTATIVE - FT, DVT","Cutter Holding Co",cutteraviation.com,Airlines/Aviation,,,"Deer Valley area",Phoenix,AZ,"85027"
2022-05-13,"Security Officer",PMF,pmf.gov,,"$16.50 - $20.00 an hour",,"Estrella area",Phoenix,AZ,"85009"
2022-05-15,"Housekeeper 7am - 3:30pm Deer Valley Medical Center",HonorHealth,honorhealth.com,"Hospital & Health Care",,,,Phoenix,AZ,"85027"
2022-05-15,"Assistant, Stepping Stone (8517)","Alhambra Elementary School District",alhambraesd.org,"Education Management","$30.6K - $38.8K a year",,"Alhambra area",Phoenix,AZ,"85015"
2022-05-14,"EDUCATION PROFESSIONS & EDUCATORS RISING STATE ADVISOR","State of Arizona",az.gov,"Government Administration","$58,000 - $65,000 a year",,"Central City area",Phoenix,AZ,"85007"
2022-05-13,"Home Claims Support Rep","AAS Services, LLC",,,"$16.83 - $23.56 an hour",,,Phoenix,AZ,""
2022-05-13,"Security Officer Distribution Center","Allied Universal®",,,"$16 an hour",,"North Gateway area",Phoenix,AZ,"85085"
2022-05-13,"Program Site Representative","Grand Canyon Education",gce.com,"Education Management","$41K - $52K a year",,"Alhambra area",Phoenix,AZ,"85017"
2022-05-14,"ADMINISTRATIVE ASSISTANT 1 - PHOENIX","State of Arizona",az.gov,"Government Administration","$15.21 an hour",,"Encanto area",Phoenix,AZ,"85012"
2022-05-13,"Health Unit Coordinator","Valleywise Health System",valleywisehealth.org,"Hospital & Health Care",,,"Central City area",Phoenix,AZ,"85008"
2022-05-13,"ASSISTANT SUPERINTENDENT","State of Arizona",az.gov,"Government Administration","$82,245 - $124,957 a year",,"Central City area",Phoenix,AZ,"85007"
2022-05-15,"ELIGIBILITY INTERVIEWER","State of Arizona",az.gov,"Government Administration","$17.16 an hour",,"Encanto area",Phoenix,AZ,"85013"
2022-05-13,"Business Analyst","Handling Systems Inc",handlingsystemsinc.com,,"$49.8K - $63K a year",,"Central City area",Phoenix,AZ,"85034"
