DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
1970-01-01,"Supervisory Transportation Security Officer","TSA (Transportation Security Administration)",tsa.gov,"Government Administration","$57,006 - $88,322 a year",,,Louisville,KY,""
1970-01-01,"Consumer Safety Inspector","USDA Food Safety and Inspection Service",,,"$36,118 - $58,158 a year",,,Louisville,KY,""
1970-01-01,"Voc Rehab Counselor","Commonwealth of Kentucky",ky.gov,"Government Administration","$3,845 a month",,"Central Business District area)",Louisville,KY," 40202"
1970-01-01,Warehouse,"Petroleum Service Corporation",petroleumservice.com,Chemicals,"$24 - $25 an hour",,,Louisville,KY,""
1970-01-01,"Warehouse Package Handler","FedEx Express",fedex.com,"Logistics & Supply Chain",,,,Louisville,KY," 40218"
1970-01-01,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"Fern Creek area)",Louisville,KY," 40291"
1970-01-01,"KSB/KSD Instructional Assistant (FFTL)","Commonwealth of Kentucky",ky.gov,"Government Administration",,,"Clifton area)",Louisville,KY," 40206"
1970-01-01,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"Bon Air area)",Louisville,KY," 40218"
1970-01-01,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"Hikes Point area)",Louisville,KY," 40220"
1970-01-01,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,,Louisville,KY," 40242"
1970-01-01,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"Highview area)",Louisville,KY," 40228"
1970-01-01,"Security Officer Retail","Allied Universal?",,,,,"Central Business District area)",Louisville,KY," 40202"
1970-01-01,"Registered Nurse - Surgery Service Clinic","US Veterans Health Administration",va.gov,"Government Administration","$59,235 - $106,238 a year",,,Louisville,KY,""
1970-01-01,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,,Louisville,KY," 40241"
1970-01-01,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,"Iroquois area)",Louisville,KY," 40214"
1970-01-01,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,,Louisville,KY," 40216"
1970-01-01,"Auto Parts Delivery Driver (Full-Time)",AutoZone,autolinesorters.com,,,,"Saint Joseph area)",Louisville,KY," 40213"
1970-01-01,"Registered Nurse-BHIP Care Manager","US Veterans Health Administration",va.gov,"Government Administration","$59,235 - $106,238 a year",,,Louisville,KY,""
1970-01-01,"Probation and Parole Officer I","Kentucky Department Of Corrections",,,"$38,280 a year",,"Central Business District area)",Louisville,KY," 40202"
1970-01-01,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,,Louisville,KY," 40207"
1970-01-01,"Auto Parts Delivery Driver (Part-Time)",AutoZone,autolinesorters.com,,,,,Louisville,KY," 40219"
1970-01-01,"Service Technician - Louisville, KY (CTC435)","Convergint Technologies LLC",convergint.com,"Security & Investigations","estimated $37.7k ? $47.7k a year",,,Louisville,KY,""
