DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-04-07,"Lead International Labor Policy Analyst",ICF,icf.com,"Management Consulting",,,"Downtown area",Washington,DC,"20006"
2022-04-07,"Maintenance Supervisor","CBS News",cbsnews.com,"Broadcast Media",,,"Downtown area",Washington,DC,"20036"
2022-04-07,"Business Analyst",SAIC,spacedev.com,"Defense & Space","$100,001 - $125,000 a year",,"Navy Yard area",Washington,DC,"20003"
2022-04-05,"Director, Social Media",Finra,finra.com,Accounting,,,"Downtown area",Washington,DC,"20006"
2022-04-06,"Deputy Investigations Editor",NPR,npr.org,"Broadcast Media","$87.8K – $111K a year",,"Capitol Hill area",Washington,DC,"20002"
2022-04-07,"Program Analyst Principal",SAIC,spacedev.com,"Defense & Space","$125,001 - $150,000 a year",Remote,,"Remote in Washington",DC,"20005"
2022-04-05,"Manager, Trade Policy, Government Affairs and Public Policy",Google,google.com,Internet,,,"NoMa area",Washington,DC,""
2022-04-06,"Principal - Workplace",Stantec,tdg.co.nz,"Civil Engineering",,,,Washington,DC,""
2022-04-05,"Associate Director, Communications","Polaris Project",polarisproject.org,"Nonprofit Organization Management","$97.3K – $123K a year",,"Downtown area",Washington,DC,"20035"
2022-04-05,"Interoperability Project Manager (Scheduling)","Emerging Tech, LLC",emergingtech-llc.com,"Industrial Automation","$100,000 a year",,"Capitol Hill area",Washington,DC,"20003"
2022-04-07,"Policy Advocacy & Government Affairs Manager",bp,bp.com,"Oil & Energy",,,,Washington,DC,""
2022-04-07,"Financial Analyst IV","Spry Methods, Inc",sprymethods.com,"Information Technology & Services","$78.5K – $99.5K a year",,,Washington,DC,""
2022-04-07,"Chief of Programs","National Association of Social Workers",socialworkers.org,"Nonprofit Organization Management","$72.9K – $92.3K a year",,"NoMa area",Washington,DC,"20002"
2022-04-06,"Vice President, Health Products and Services",AARP,aarp.org,"Nonprofit Organization Management","$157K – $198K a year",,"Penn Quarter area",Washington,DC,"20049"
2022-04-05,"Head of Bitcoin & Crypto Policy, Block",Block,block.app,"Computer Software",,,,Washington,DC,""
2022-04-07,"VA and DHA Account Manager",IBM,bionovo.com.cn,"Computer Software","$144,000 - $220,000 a year",,"Swampoodle area",Washington,DC,"20001"
2022-04-07,"Director, Operations Development & Planning",Anthem,anthem.com,Insurance,,,,Washington,DC,""
2022-04-05,"Director of Federal Affairs & Engagement","Ballast Research",ballastresearch.com,Research,"$93.1K – $118K a year",,"Logan Circle area",Washington,DC,"20005"
2022-04-07,"VA Clinical Lead",IBM,bionovo.com.cn,"Computer Software",,,"Swampoodle area",Washington,DC,"20001"
2022-04-05,"Project Director, USAID/PROPEL - Adapt","Action Against Hunger",wearehourglass.org,"Nonprofit Organization Management","$58.2K – $73.8K a year",,,Washington,DC,""
2022-04-05,"Director of Product",FiscalNote,fiscalnote.com,"Information Technology & Services","$90.5K – $115K a year",Remote,,"Temporarily Remote in Washington",DC,"20004"
2022-04-07,"Operations Action Officer (HHS)","Boost LLC",boostllc.net,"Management Consulting","$88.6K – $112K a year",,"Downtown area",Washington,DC,"20500"
2022-04-05,"Power Platforms Consultant - IRS",Microsoft,microsoft.com,"Computer Software",,,,Washington,DC,""
2022-04-05,"Federal Account Executive, Air Force / Space Force",Dynatrace,dynatrace.com,"Computer Software","$60.4K – $76.4K a year",,,Washington,DC,""
2022-04-06,"Acquisition Management Analyst – DHS","Logistics Management Institute",lmi.org,"Management Consulting","$90.3K – $114K a year",,,Washington,DC,""
2022-04-07,"Finance Director, Special Projects","American Institutes for Research",air.org,Research,"$101K – $128K a year",,"Georgetown area",Washington,DC,"20007"
2022-04-05,"Human Resource Program Manager (8116)","Patricio Enterprises, Inc",,,"$96.8K – $123K a year",,,Washington,DC,""
2022-04-05,"Environmental Safeguards Support to Operations","Inter-American Development Bank",iadb.org,"International Trade & Development","$91.3K – $116K a year",,"Downtown area",Washington,DC,"20577"
2022-04-06,"Communications and Program Management Consultant (Top Secret...","Arc Aspicio",arcaspicio.com,"Management Consulting","$96.5K – $122K a year",Remote,,"Hybrid remote in Washington",DC,"20006"
2022-04-07,"Sustainment Executive Steering Committee Support (ST1 )","Serco North America",icims.com,Automotive,,,"Logan Circle area",Washington,DC,"20005"
2022-04-07,"(Technical) Director for Democracy, Rights, and Governance T...","International Republican Institute",iri.org,"International Affairs","$81.8K – $104K a year",,"Logan Circle area",Washington,DC,"20005"
2022-04-06,"Director, Office of Facilities Management and Reliability","US Smithsonian Institution",,,"$135,468 - $203,700 a year",,"Capitol Hill area",Washington,DC,"20002"
2022-04-05,"Budget Analyst","The Building People",thebuildingpeople.com,"Facilities Services","$59.8K – $75.8K a year",,"Shaw area",Washington,DC,"20001"
2022-04-07,"(Technical) Director for Democracy, Rights, and Governance T...","IRI Washington DC",,,"$114K – $144K a year",,"Logan Circle area",Washington,DC,"20005"
2022-04-07,"Director of Family Engagement and Development","Meridian Public Charter School",mpcs-dc.org,"Primary/Secondary Education","$69.5K – $87.9K a year",,,Washington,DC,""
2022-04-06,"USAID Chief of Party -Learning for Development (L4Dev)","Jefferson Consulting Group",jeffersonconsulting.com,"Government Relations","$131K – $165K a year",,"Downtown area",Washington,DC,"20006"
2022-04-05,"Project Manager","Allegheny Science & Technology",alleghenyst.com,"Management Consulting","$107K – $135K a year",,"Southwest Waterfront area",Washington,DC,"20024"
2022-04-07,"Information Management Analyst",Leidos,opera.org.au,"Performing Arts",,,"South West area",Washington,DC,"20090"
2022-04-06,"Stress Analysis Group Lead","Virgin Galactic",virgingalactic.com,"Aviation & Aerospace","$83.3K – $105K a year",,,Washington,DC,""
2022-04-06,"Engineering Fellow in Signature Management & Techn","Raytheon Missiles & Defense",raytheonmissilesanddefense.com,"Defense & Space",,,"Catholic University-Brookland area",Washington,DC,"20011"
2022-04-06,"Principal Analytics Advisor","Change Healthcare",changehealthcare.com,"Information Technology & Services",,,,Washington,DC,""
2022-04-06,"Business Financial Analyst","Serco North America",icims.com,Automotive,,,"Logan Circle area",Washington,DC,"20005"
2022-04-06,"Filenet SME",Cognizant,,,,,"Downtown area",Washington,DC,"20005"
2022-04-06,"Project Manager","IA Interior Architects",interiorarchitects.com,Design,,,,Washington,DC,""
2022-04-06,"Information Management Analyst",Leidos,opera.org.au,"Performing Arts",,,"South West area",Washington,DC,"20090"
2022-04-07,"US Government Project Manager (TS/SCI-Poly)",IBM,bionovo.com.cn,"Computer Software",,,"Swampoodle area",Washington,DC,"20001"
2022-04-06,"DevOps Consultant (Top Secret Clearance)","Arc Aspicio",arcaspicio.com,"Management Consulting","$133K – $168K a year",Remote,,"Hybrid remote in Washington",DC,"20006"
2022-04-05,"Technical Manager",COMPQSOFT,compqsoft.com,"Information Technology & Services",,Remote,,"Remote in Washington",DC,""
2022-04-05,"Interoperability Project Manager","Emerging Tech, LLC",emergingtech-llc.com,"Industrial Automation","$100,000 a year",,"NoMa area",Washington,DC,"20002"
2022-04-05,"Strategic Communications Lead","R&P Technologies, LLC",,,"$94K – $119K a year",,"Navy Yard area",Washington,DC,"20003"
2022-04-06,"Project Manager","Bay State",,,"$98.1K – $124K a year",,"Dupont Circle area",Washington,DC,"20036"
2022-04-05,"Program Management Analyst Subject Matter Expert (SME)","R&P Technologies, LLC",,,"$93.1K – $118K a year",,"Navy Yard area",Washington,DC,"20003"
2022-04-07,"Zeus Prime Growth Director","The Washington Post",washpost.com,,"$87.5K – $111K a year",,,Washington,DC,""
2022-04-07,"Vice-President of Accounting and Finance/Controller","United Way",unitedwaytv.com,"Civic & Social Organization",,,"Downtown area",Washington,DC,"20006"
2022-04-05,"Technical Cybersecurity Team Lead","MindPoint Group, LLC",mindpointgroup.com,"Computer & Network Security","$114K – $145K a year",,,Washington,DC,""
2022-04-06,"Engineering Fellow - Optical-Mechanical","Raytheon Missiles & Defense",raytheonmissilesanddefense.com,"Defense & Space",,,"Catholic University-Brookland area",Washington,DC,"20011"
2022-04-05,"Chief Of Party- USAID/IDAMS","Panagora Group",panagoragroup.net,"International Trade & Development","$129K – $163K a year",,"Shaw area",Washington,DC,"20001"
2022-04-05,"Marketing Cloud Expert, Retail & Consumer Goods",Salesforce,covidi.com,"Computer Software","$79,520 a year",,,Washington,DC,""
2022-04-06,"Filenet SME","Cognizant Technology Solutions",cognizant.com,"Information Technology & Services",,,"Shaw area",Washington,DC,"20001"
2022-04-07,"Industrial Organizational Psychologist",Leidos,opera.org.au,"Performing Arts",,Remote,,"Remote in Washington",DC,"20591"
2022-04-06,"Director of Partnerships,Observability/APM - Remote","New Relic",newrelic.com,"Computer Software","$99.7K – $126K a year",Remote,,"Remote in Washington",DC,"20001"
2022-04-06,"Directed Energy Engineering Fellow","Raytheon Missiles & Defense",raytheonmissilesanddefense.com,"Defense & Space",,,"Catholic University-Brookland area",Washington,DC,"20011"
2022-04-05,"JPMorgan Payments -Merchant Services - Payments Business Dev...","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Washington,DC,""
2022-04-06,"Industrial Organizational Psychologist",Leidos,opera.org.au,"Performing Arts",,Remote,,"Remote in Washington",DC,"20591"
2022-04-07,"Embedded Real-Time SW Developer/Integrator(On-Site)","Raytheon Missiles & Defense",raytheonmissilesanddefense.com,"Defense & Space",,,"Catholic University-Brookland area",Washington,DC,"20011"
2022-04-06,"Regional Sales Manager Federal Systems Integrators","Palo Alto Networks",paloaltonetworks.com,"Computer & Network Security","$234,500 a year",,,Washington,DC,""
2022-04-06,"International Government Affairs Director, Asia Pacific",Amgen,ansals.com,"Real Estate",,,,Washington,DC,""
2022-04-05,"Program Manager (TS clearance and PMP required)","MindPoint Group, LLC",mindpointgroup.com,"Computer & Network Security","$125K – $158K a year",,,Washington,DC,""
2022-04-05,"Lead Technical Architect/Developer","Oasis Systems LLC",oasissystems.com,"Information Technology & Services","$115K – $146K a year",,,Washington,DC,""
2022-04-07,"Gov Cloud Technical Account Manager",Salesforce,covidi.com,"Computer Software","$126,100 a year",,,Washington,DC,""
2022-04-06,"Information Technology Specialist (Applications Software)","Government of the District of Columbia",,,"$105,730 - $136,208 a year",,"Southwest Federal Center area",Washington,DC,"20024"
2022-04-06,"Signal Processing Engineering Fellow","Raytheon Missiles & Defense",raytheonmissilesanddefense.com,"Defense & Space",,,"Catholic University-Brookland area",Washington,DC,"20011"
2022-04-05,"Solution and Technical Architect","Arc Aspicio",arcaspicio.com,"Management Consulting","$138K – $175K a year",Remote,,"Hybrid remote in Washington",DC,"20006"
2022-04-07,"Monetization and Pricing Manager - Opportunity for Working R...",VMware,thebrunswicknews.com,Newspapers,,,,Washington,DC,""
2022-04-06,"Principal Analytics Advisor","Change Healthcare",changehealthcare.com,"Information Technology & Services",,,,Washington,DC,""
2022-04-06,"Budget and Finance Manager (F) Active TS/SCI with Full Scope...",Emcor,emcor.com,Consulting,,,,Washington,DC,""
2022-04-06,"Budget and Finance Manager (F) Active TS/SCI with Full Scope...","EMCOR Government Services, Inc.",,,"$76K – $96.2K a year",,,Washington,DC,""
2022-04-05,"Assistant Director, Mechanical Engineering and Commissioning","The Catholic University of America",cua.edu,"Higher Education","$107K – $136K a year",,"Catholic University area",Washington,DC,"20064"
2022-04-05,"ISSO Team Lead","MindPoint Group, LLC",mindpointgroup.com,"Computer & Network Security","$131K – $166K a year",,,Washington,DC,""
2022-04-05,"Cybersecurity Governance, Risk, and Compliance (GRC) Program...","MindPoint Group, LLC",mindpointgroup.com,"Computer & Network Security","$111K – $141K a year",,,Washington,DC,""
2022-04-06,"Principal Operations Research Analyst and Simulation Develop...","Raytheon Missiles & Defense",raytheonmissilesanddefense.com,"Defense & Space",,,"Catholic University-Brookland area",Washington,DC,"20011"
