DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-22,"Grant Writer",YMCA,lawcoymca.org,"Nonprofit Organization Management","$55,000 a year",,"Elmwood area",Providence,RI,"02907"
2022-03-24,"Program Manager for Academic Tutoring","Brown University",brown.sd.us,"Government Administration","$44.3K ? $56.1K a year",,"College Hill area",Providence,RI,"02912"
2022-03-24,"Executive Director-Providence Youth Services",YMCA,lawcoymca.org,"Nonprofit Organization Management","$70,000 a year",,"Elmwood area",Providence,RI,"02907"
2022-03-23,"Executive Director -Providence Youth Services","YMCA of Greater Providence",ymcagreaterprovidence.org,"Health, Wellness & Fitness","$70,000 - $75,000 a year",,"Elmwood area",Providence,RI,"02907"
2022-03-23,"Kindergarten through Second Grade Teacher","The Wheeler School",wheelerschool.org,"Education Management","$48.8K ? $61.8K a year",,"College Hill area",Providence,RI,"02906"
2022-03-24,"IP Foreign Filing Paralegal","Nixon Peabody LLP",nixonpeabody.com,"Law Practice","$56.5K ? $71.5K a year",,"Downtown area",Providence,RI,"02903"
2022-03-24,"Operations Director Providence Youth Services",YMCA,lawcoymca.org,"Nonprofit Organization Management","$60,000 a year",,"Elmwood area",Providence,RI,"02907"
2022-03-23,"Program Manager, COBRE","Brown University",brown.sd.us,"Government Administration","$49.3K ? $62.5K a year",,"College Hill area",Providence,RI,"02912"
2022-03-24,"Evening Global Resource Assistant","Nixon Peabody LLP",nixonpeabody.com,"Law Practice","$33.9K ? $42.9K a year",,"Downtown area",Providence,RI,"02903"
2022-03-23,"Operations Director Providence Youth Services","YMCA of Greater Providence",ymcagreaterprovidence.org,"Health, Wellness & Fitness","$60,000 - $65,000 a year",,"Elmwood area",Providence,RI,"02907"
2022-03-24,"Immigration Paralegal","Nixon Peabody LLP",nixonpeabody.com,"Law Practice","$44.6K ? $56.4K a year",,"Downtown area",Providence,RI,"02903"
2022-03-24,"Document Controller",PACIV,paciv.com,"Industrial Automation","$30.4K ? $38.4K a year",,,Providence,RI,""
