DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
23-02-2022,"Route Sales Representative","Schwan?s Home Delivery",,,"$47,000 - $52,000 a year",,,"Sioux Falls",SD,""
24-02-2022,"2022-2023 Elementary 10 Month Lead Clerical - Class III - .4...","Sioux Falls School District",k12.sd.us,"Primary/Secondary Education","From $20.21 an hour",,,"Sioux Falls",SD,""
23-02-2022,"Patient Services Representative",Avera,avera.org,"Hospital & Health Care",,,,"Sioux Falls",SD,"57110"
22-02-2022,"Floral Designer","Hy-Vee, Inc.",,,,,,"Sioux Falls",SD,"57106"
23-02-2022,"Rehabilitation Counselor","US Veterans Health Administration",va.gov,"Government Administration","$54,727 - $86,074 a year",,,"Sioux Falls",SD,""
25-02-2022,Receptionist,"Stewart Title Guaranty Company",stewart.com,Insurance,,,,"Sioux Falls",SD,"57108"
22-02-2022,"Remote Customer Retention Professional ($15-$17.50/hr. Plus...","PREMIER Bankcard LLC",,,"$15.00 - $17.50 an hour",Remote,,"Remote in Sioux Falls",SD,""
22-02-2022,"Patient Advocate",Avera,avera.org,"Hospital & Health Care",,,,"Sioux Falls",SD,"57105"
22-02-2022,"Remote Customer Retention Professional ($15-$17.50/hr. Plus...","First PREMIER Bank and PREMIER Bankcard",mypremiercreditcard.com,"Financial Services","$15.00 - $17.50 an hour",Remote,,"Remote in Sioux Falls",SD,""
23-02-2022,"Residential Treatment Counselor","Children's Home Society of South Dakota",chssd.org,"Individual & Family Services","$17 an hour",,,"Sioux Falls",SD,"57110"
23-02-2022,"Park Workers","Minnehaha County",,,"$17 an hour",,,"Sioux Falls",SD,""
23-02-2022,"Patient Services Representative",Avera,avera.org,"Hospital & Health Care",,,,"Sioux Falls",SD,"57105"
24-02-2022,"Personal Education Assistant - .75 FTE at Hayward Elementary","Sioux Falls School District",k12.sd.us,"Primary/Secondary Education","From $15.78 an hour",,,"Sioux Falls",SD,""
24-02-2022,"Warehouse Openings","Lineage Logitics",,,,,,"Sioux Falls",SD,""
25-02-2022,"Personal Education Assistant - .875 FTE at John F Kennedy El...","Sioux Falls School District",k12.sd.us,"Primary/Secondary Education","From $15.78 an hour",,,"Sioux Falls",SD,""
22-02-2022,"Personal/Lunch Education Assistant - .875 FTE at Laura Wilde...","Sioux Falls School District",k12.sd.us,"Primary/Secondary Education","From $15.78 an hour",,,"Sioux Falls",SD,""
23-02-2022,"Doctor's Lounge Host/Hostess",Avera,avera.org,"Hospital & Health Care",,,,"Sioux Falls",SD,"57108"
25-02-2022,"2022-2023 Preschool Opportunity Program (POP) Coordinator -...","Sioux Falls School District",k12.sd.us,"Primary/Secondary Education","From $20.21 an hour",,,"Sioux Falls",SD,""
22-02-2022,"Patient Care Technician",Avera,avera.org,"Hospital & Health Care",,,,"Sioux Falls",SD,"57105"
22-02-2022,"Child Nutrition General Worker - .9375 FTE at Jefferson High...","Sioux Falls School District",k12.sd.us,"Primary/Secondary Education","From $15.19 an hour",,,"Sioux Falls",SD,""
23-02-2022,"Registered Nurse Coordinator-MDS/Intake",Avera,avera.org,"Hospital & Health Care",,,,"Sioux Falls",SD,"57103"
23-02-2022,"Sales Assistant/ Guest Services","HOM Furniture",homfurniture.com,Furniture,"$14 - $17 an hour",,,"Sioux Falls",SD,""
22-02-2022,"Full-Time Manager-in-Training (Assistant Manager)","Tradehome Shoe Stores, Inc.",tradehome.com,Retail,"$915 a week",,,"Sioux Falls",SD,"57106"
24-02-2022,"Family Support Program","Helpline Center",helplinecenter.org,"Individual & Family Services",,,,"Sioux Falls",SD,"57104"
23-02-2022,"Store Associate - Food - FT - Schedule 1","Kum & Go",kumandgo.com,Retail,,,,"Sioux Falls",SD,""
24-02-2022,"Coordinated Care Information Data Specialist-Quality",Avera,avera.org,"Hospital & Health Care",,,,"Sioux Falls",SD,"57105"
24-02-2022,"Administrative Assistant","ASM Global",asmglobal.com,Entertainment,,,,"Sioux Falls",SD,"57104"
24-02-2022,"FT-Sales Associate - Building Materials-Day",Lowe's,lowes.com,Retail,,,,"Sioux Falls",SD,"57106"
25-02-2022,"Convenience Store Clerk","Hy-Vee, Inc.",,,,,,"Sioux Falls",SD,"57108"
25-02-2022,"Assistant Store Manager",francesca's,francescas.com,Retail,,,,"Sioux Falls",SD,"57106"
25-02-2022,"Executive Team Leader Human Resources (Assistant Manager HR)...",TARGET,target.com,Retail,,,,"Sioux Falls",SD,"57110"
22-02-2022,"E-Commerce Pick Up Clerk","Hy-Vee, Inc.",,,,,,"Sioux Falls",SD,"57105"
22-02-2022,"Help Desk Dispatcher","High Point Networks LLC",,,,,,"Sioux Falls",SD,"57104"
23-02-2022,"Store Associate - FT - Schedule 1","Kum & Go",kumandgo.com,Retail,,,,"Sioux Falls",SD,""
23-02-2022,"Parole Agent","South Dakota State Government",sd.gov,"Government Administration","$21.49 an hour",,,"Sioux Falls",SD,""
24-02-2022,"988/Mental Health","Helpline Center",helplinecenter.org,"Individual & Family Services",,,,"Sioux Falls",SD,"57104"
23-02-2022,"Juvenile Correctional Officer I","Minnehaha County",,,"$19.46 - $20.96 an hour",,,"Sioux Falls",SD,""
25-02-2022,"HME Sales Representative",Avera,avera.org,"Hospital & Health Care",,,,"Sioux Falls",SD,"57104"
22-02-2022,"Dialysis Technician",Avera,avera.org,"Hospital & Health Care",,,,"Sioux Falls",SD,"57105"
23-02-2022,"Full-time Optometrist","OPHTHALMOLOGY LTD.",ophthalmologyltd.com,"Medical Practice",,,,"Sioux Falls",SD,"57108"
23-02-2022,"Park Supervisor","Minnehaha County",,,"$21 an hour",,,"Sioux Falls",SD,""
24-02-2022,Phlebotomist,"Biomat USA, Inc.",grifolsplasma.com,Pharmaceuticals,,,,"Sioux Falls",SD,"57117"
25-02-2022,"Security Officer",Avera,avera.org,"Hospital & Health Care",,,,"Sioux Falls",SD,"57104"
24-02-2022,"Tax and License Technician","Minnehaha County",,,"$17.64 - $18.98 an hour",,,"Sioux Falls",SD,""
24-02-2022,"Client Support Specialist I","First Interstate Bank",firstinterstatebank.com,Banking,,,,"Sioux Falls",SD,""
23-02-2022,"Construction Laborer","AGC of South Dakota",,,,,,"Sioux Falls",SD,""
25-02-2022,"Full-Time Stockroom Operations Lead",KOHLS,kohls.com,"Real Estate",,,,"Sioux Falls",SD,"57110"
24-02-2022,"Sterile Processing Room Technician - Full-Time","Sioux Falls Specialty Hospital",sfsh.com,"Hospital & Health Care",,,,"Sioux Falls",SD,"57105"
23-02-2022,"SALES PROFESSIONAL/DESIGN ASSOCIATE","Furniture Mart USA",furnituremartusa.com,Furniture,"From $80,000 a year",,,"Sioux Falls",SD,"57107"
23-02-2022,"Teller I","First Interstate Bank",firstinterstatebank.com,Banking,,,,"Sioux Falls",SD,""
24-02-2022,Accountant,"City of Sioux Falls",siouxfalls.org,"Government Administration","$24.58 - $26.70 an hour",,,"Sioux Falls",SD,""
24-02-2022,"Case Manager (Elite Team)","Sammons Financial",sammonsfinancialgroup.com,"Financial Services",,,,"Sioux Falls",SD,"57106"
24-02-2022,"Tax and License Technician","Minnehaha County, SD",,,"$17.64 - $18.98 an hour",,"Downtown area","Sioux Falls",SD,"57104"
25-02-2022,"Scrum Master","CentralSquare Technologies",centralsquare.com,"Computer Software",,,,"Sioux Falls",SD,"57108"
