DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-06-10,"Elementary Counselor","Anchorage School District",asdk12.org,"Primary/Secondary Education","$46K - $58.2K a year",,,Anchorage,AK,""
2022-06-10,"Elementary School Teacher","Anchorage School District",asdk12.org,"Primary/Secondary Education","$46.8K - $59.2K a year",,,Anchorage,AK,""
2022-06-10,"Grants Management Specialist","US Environmental Protection Agency",epa.gov,"Government Administration","$66,214 - $115,803 a year",,,Anchorage,AK,""
2022-06-11,"Kennel Assistant","VCA Animal Hospitals",vcahospitals.com,Veterinary,,,"Taku-Campbell area",Anchorage,AK,"99518"
2022-06-11,"Maintenance Assistant – Anchorage Administration",Akeela,,,"$28.9K - $36.5K a year",,,Anchorage,AK,""
2022-06-11,"PROFESSIONAL LIBRARIAN III - Range 15 / NON","Municipality of Anchorage",muni.org,"Government Relations","$66,643 - $85,218 a year",,"Midtown area",Anchorage,AK,""
2022-06-10,"Administrative Support TEMPORARY","Coastal Villages Region Fund",coastalvillages.org,"Nonprofit Organization Management","$28.9K - $36.5K a year",,"Downtown area",Anchorage,AK,"99501"
2022-06-12,"Office Assistant",SGS,sgs.com,"International Trade & Development",,,"Taku-Campbell area",Anchorage,AK,"99518"
2022-06-11,"Floor Counselor – Akeela House Residential Program",Akeela,,,"$36.6K - $46.4K a year",,,Anchorage,AK,""
2022-06-10,"Supervisory Public Affairs Specialist","U.S. Fish and Wildlife Service",fws.gov,"Government Administration","$147,231 - $176,300 a year",Remote,,"Temporarily Remote in Anchorage",AK,"99503"
2022-06-11,"CITY ROUTE BUS OPERATOR (Bus Operator - 10 Vacancies) - Rang...","Municipality of Anchorage",muni.org,"Government Relations","$52,811 - $61,090 a year",,"Downtown area",Anchorage,AK,"99501"
2022-06-11,"Retail Sales Associates Full Time or Part Time","Castle Megastore",castlemegastore.com,Retail,"$17 an hour",,"Mountain View area",Anchorage,AK,"99501"
2022-06-10,"Care Coordination Agent I - Fulltime","Alaska Native Tribal Health Consortium",anthc.org,"Hospital & Health Care","$15.11 an hour",,,Anchorage,AK,""
2022-06-11,"Real Estate Services Coordinator",CBRE,cbre.us,"Real Estate",,,,Anchorage,AK,""
2022-06-13,"Training Support Specialist","AK Child & Family",akchild.org,"Mental Health Care","$34.6K - $43.8K a year",,"Mid-Hillside area",Anchorage,AK,"99507"
2022-06-11,"Primary Counselor – Anchorage Out-Patient",Akeela,,,"$40.9K - $51.7K a year",,,Anchorage,AK,""
2022-06-10,"Security Officer",Providence,psjhealth.org,"Hospital & Health Care",,,,Anchorage,AK,"99508"
2022-06-10,"ENSTAR - Operator (Anchorage)",AltaGas,altagas.ca,"Oil & Energy","$40.9K - $51.7K a year",,,Anchorage,AK,""
2022-06-10,"Administrative Assistant (NON SCHOOL BASED)","Anchorage School District",asdk12.org,"Primary/Secondary Education","$16.75 - $17.68 an hour",,,Anchorage,AK,""
2022-06-11,"Operations Coordinator","Team Industrial Services, Inc.",teaminc.com,"Mechanical Or Industrial Engineering","$30.2K - $38.2K a year",,"Abbott Loop area",Anchorage,AK,"99507"
2022-06-11,"Administrative Support Specialist - Claims",Progressive,progressivepartnership.co.uk,"Market Research","$43,500 - $47,000 a year",,"Midtown area",Anchorage,AK,""
2022-06-10,"Medicaid Program Specialist 1 (06N22136)","State of Alaska",aebsd.org,"Education Management","$26.82 an hour",,,Anchorage,AK,""
2022-06-10,"Criminal Justice Technician 1/2","State of Alaska",aebsd.org,"Education Management","$20.75 - $23.56 an hour",,"Campbell Park area",Anchorage,AK,"99507"
2022-06-12,"Landscape Maintenance","JEFFCO Inc",jeffcogrounds.com,"Facilities Services","$16 - $19 an hour",,,Anchorage,AK,""
2022-06-10,"Hunting Sales Outfitter",Cabela's,cabelas.com,Retail,,,"Bayshore-Klatt area",Anchorage,AK,"99515"
2022-06-11,"Patient Care Tech",Providence,psjhealth.org,"Hospital & Health Care",,,,Anchorage,AK,"99508"
2022-06-10,"Sales Representative - Wine & Spirits (SGWS)","The Odom Corporation",odomcorp.com,Wholesale,,,"Taku-Campbell area",Anchorage,AK,"99518"
2022-06-10,"Human Resource Consultant 4 (Assistant Program Manager, PCN...","State of Alaska",aebsd.org,"Education Management","$5,606 - $5,888 a month",,,Anchorage,AK,""
2022-06-11,"Executive Assistant – Anchorage Administration",Akeela,,,"$41.1K - $52.1K a year",,,Anchorage,AK,""
2022-06-11,"Account Executive","Advance Auto Parts",advanceautoparts.com,Retail,,,,Anchorage,AK,"99501"
2022-06-10,"Office Support Clerk/Teacher's Aide","RurAL CAP",serviceyear.org,"Nonprofit Organization Management","From $15.38 an hour",,"Downtown area",Anchorage,AK,"99501"
