DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-06-15,"Return Processor","Living Spaces",livingspaces.com,Retail,,,,"Grand Prairie",TX,"75052"
2022-06-15,"Call Center Customer Service",LKQ,lkqcorp.com,Automotive,,,,"Grand Prairie",TX,"75050"
2022-06-15,"Warehouse Associate 1st Shift","R.J. Schinner Company, Co., Inc.",rjschinner.com,Wholesale,"$28.2K - $35.8K a year",,,"Grand Prairie",TX,""
2022-06-14,"Inventory Clerk",LKQ,lkqcorp.com,Automotive,,,,"Grand Prairie",TX,"75050"
2022-06-14,"General Warehouse Associate II","HD Supply",hdsupply.com,Wholesale,,,,"Grand Prairie",TX,"75050"
2022-06-14,"Rancho 33 - Cremeria: Clerk","El Rancho",,,"$23.7K - $30.1K a year",,,"Grand Prairie",TX,"75052"
2022-06-14,"Lead Customer Service Representative, Full or Part Time","Circle K",circlek.com,Retail,,,,"Grand Prairie",TX,"75052"
2022-06-15,"Material Handler","thyssenkrupp Materials NA Inc.",thyssenkrupp-materials-na.com,"Mining & Metals","From $18 an hour",,,"Grand Prairie",TX,"75052"
2022-06-15,"Janitor/Floor Tech - Grand Prairie M2022","us issworld",issworld.com,"Facilities Services","$15.06 an hour",,,"Grand Prairie",TX,"75052"
2022-06-15,"Extruder Operator","Printpack Inc",printpack.com,"Packaging & Containers",,,,"Grand Prairie",TX,"75051"
2022-06-15,"Warehouse Associate","Beacon Building Products",becn.com,"Building Materials",,,,"Grand Prairie",TX,"75050"
2022-06-14,"Store Assistant, Full Time","Circle K",circlek.com,Retail,,,,"Grand Prairie",TX,"75052"
2022-06-14,"Rancho 33 - Maintenance: Clerk","El Rancho",,,"$22.8K - $28.8K a year",,,"Grand Prairie",TX,"75052"
2022-06-14,"Rancho 33 - Bakery: Clerk","El Rancho",,,"$19.6K - $24.8K a year",,,"Grand Prairie",TX,"75052"
2022-06-14,"Rancho 33 - Meat: Wrapper","El Rancho",,,"$19.3K - $24.5K a year",,,"Grand Prairie",TX,"75052"
2022-06-14,Phlebotomist,"CSL Plasma",cslplasma.com,Pharmaceuticals,,,,"Grand Prairie",TX,"75051"
2022-06-14,"Insurance/Customer Service Agent 2nd shift/Overnight",Sitel,sitel.com,Outsourcing/Offshoring,"$15 - $17 an hour",,,"Grand Prairie",TX,""
2022-06-14,"Rancho 33 - Customer Service: Cashier","El Rancho",,,,,,"Grand Prairie",TX,"75052"
2022-06-14,"Rancho 33 - Meat: Cutter II","El Rancho",,,"$24.2K - $30.6K a year",,,"Grand Prairie",TX,"75052"
2022-06-14,"Rancho 33 - Produce: Clerk","El Rancho",,,,,,"Grand Prairie",TX,"75052"
2022-06-13,"Cleaner/Janitor- Grand Prairie Premium Outlets","The Facilities Group",,,"$12.30 an hour",,,"Grand Prairie",TX,"75052"
2022-06-15,"Janitor - Grand Prairie M2022","us issworld",issworld.com,"Facilities Services","$13.80 an hour",,,"Grand Prairie",TX,"75052"
2022-06-14,"Sales Associate",Ria,,,,,,"Grand Prairie",TX,""
2022-06-15,"Heavy Equipment Operator - Solid Waste - Landfill","City of Grand Prairie",gptx.org,"Government Administration","$16.19 - $24.73 an hour",,,"Grand Prairie",TX,""
2022-06-14,"Material Handler/ Warehouse Associate -Growing Today, Paid T...","The Wasserstrom Company",wasserstrom.com,Restaurants,"$26.8K - $34K a year",,,"Grand Prairie",TX,"75050"
2022-06-15,"Cart Attendant - Grand Prairie - FT M2022","us issworld",issworld.com,"Facilities Services","$13.15 an hour",,,"Grand Prairie",TX,"75052"
2022-06-14,"Teller Retail Banker","Woodforest National Bank",woodforest.com,Banking,"$29.3K - $37.1K a year",,,"Grand Prairie",TX,"75052"
2022-06-14,"Team Member","Circle K",circlek.com,Retail,,,,"Grand Prairie",TX,"75052"
2022-06-14,"Store Assistant, Full Time","Circle K",circlek.com,Retail,,,,"Grand Prairie",TX,"75052"
2022-06-15,"Dishwasher - Grand Prairie - FT M2022","us issworld",issworld.com,"Facilities Services","$10.79 an hour",,,"Grand Prairie",TX,"75052"
2022-06-14,"Rancho 33 - Meat: Clerk","El Rancho",,,"$18.7K - $23.7K a year",,,"Grand Prairie",TX,"75052"
2022-06-14,"General Warehouse Associate II-2nd Shift","HD Supply",hdsupply.com,Wholesale,,,,"Grand Prairie",TX,"75050"
2022-06-15,"Patient Service/Front Desk Coordinator",MyEyeDr.,myeyedr.com,"Medical Practice",,,,"Grand Prairie",TX,""
2022-06-14,Busser,"First Watch Restaurants, Inc.",,,,,,"Grand Prairie",TX,"75052"
2022-06-14,"Account Associate - State Farm Agent Team Member","Ray Givens - State Farm Agent",,,"$60,000 - $75,000 a year",,,"Grand Prairie",TX,"75053"
2022-06-15,"Customer Service Representative - State Farm Agent Team Memb...","Skip Jones - State Farm Agent",,,"$30,000 - $70,000 a year",,,"Grand Prairie",TX,"75050"
2022-06-15,"Account Representative - State Farm Agent Team Member","Andrew Jantz - State Farm Agent",takeachanceonjantz.com,,"$35,000 - $65,000 a year",,,"Grand Prairie",TX,"75052"
2022-06-14,Server,"First Watch Restaurants, Inc.",,,,,,"Grand Prairie",TX,"75052"
2022-06-15,"Life/Health Insurance Position - State Farm Agent Team Membe...","Andrew Jantz - State Farm Agent",takeachanceonjantz.com,,"$35,000 - $65,000 a year",,,"Grand Prairie",TX,"75052"
2022-06-14,"Store Manager (FT)","PandaExpress Rush & Walnut Grove",,,"$70,000 - $100,000 a year",,,"Grand Prairie",TX,""
2022-06-14,"Receptionist/Office Assistant","Oldcastle BuildingEnvelope",obe.com,"Building Materials","$15 - $19 an hour",,,"Grand Prairie",TX,"75050"
2022-06-14,Dishwasher,"First Watch Restaurants, Inc.",,,,,,"Grand Prairie",TX,"75052"
2022-06-14,"$18/hr Customer Service Representative/Call Center Bilingual...","Home Zone Furniture",homezonefurniture.com,Furniture,"From $18 an hour",,,"Grand Prairie",TX,"75051"
2022-06-15,"Laboratory Specialist",Flex-N-Gate,flex-n-gate.com,Automotive,,,,"Grand Prairie",TX,"75052"
2022-06-15,"English Language Arts and Reading (ELAR) Teacher - 5th Grade","International Leadership of Texas",iltexas.org,"Education Management","$50,500 - $59,000 a year",,,"Grand Prairie",TX,"75052"
