DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
24-02-2022,"Executive Director, Marketing- CVRM Rare Disease",AstraZeneca,astrazeneca.com,Pharmaceuticals,,,,Wilmington,DE,"19850"
23-02-2022,"Program Director, Executive Communications","Agilent Technologies, Inc.",agilent.com,Biotechnology,,,,Wilmington,DE,"19808"
22-02-2022,"Director, Brand Experience",OneMagnify,onemagnify.com,"Marketing & Advertising",,,,Wilmington,DE,""
24-02-2022,"Director, Channel Excellence and Media Optimization",AstraZeneca,astrazeneca.com,Pharmaceuticals,,,,Wilmington,DE,"19850"
22-02-2022,"Head of Home Lending and Auto Technology Portfolio Managemen...","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
22-02-2022,"CCB - Agility Office -Business Management - Vice President","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
23-02-2022,"Data Quality Program Manager","Agilent Technologies, Inc.",agilent.com,Biotechnology,"$122,573 - $159,600 a year",Remote,,"Remote in Wilmington",DE,""
23-02-2022,"SaaS Strategist (Acceleration & GTM) - Opportunity for Worki...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Wilmington",DE,""
23-02-2022,"Regional Pricing, Associate Director","Solenis LLC",solenis.com,Chemicals,,,,Wilmington,DE,"19803"
24-02-2022,"Member of Technical Staff (Windows Client Development) - Opp...",VMware,thebrunswicknews.com,Newspapers,,Remote,,"Remote in Wilmington",DE,""
24-02-2022,"SAP Basis Architect",Comcentric,comcentric.com,"Information Technology & Services",,,,Wilmington,DE,""
22-02-2022,"Software Engineering Lead","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Wilmington,DE,""
24-02-2022,"SAP Basis Architect",Comcentric,comcentric.com,"Information Technology & Services",,,,Wilmington,DE,""
24-02-2022,"SAP Basis Architect",Comcentric,comcentric.com,"Information Technology & Services",,,,Wilmington,DE,""
22-02-2022,"SAP Basis Architect",Comcentric,comcentric.com,"Information Technology & Services",,,,Wilmington,DE,""
23-02-2022,"SAP Basis Architect",Comcentric,comcentric.com,"Information Technology & Services",,,,Wilmington,DE,""
23-02-2022,"SAP Basis Architect",Comcentric,comcentric.com,"Information Technology & Services",,,,Wilmington,DE,""
22-02-2022,"SAP Basis Architect",Comcentric,comcentric.com,"Information Technology & Services",,,,Wilmington,DE,""
22-02-2022,"SAP Basis Architect",Comcentric,comcentric.com,"Information Technology & Services",,,,Wilmington,DE,""
22-02-2022,"SAP Basis Architect",Comcentric,comcentric.com,"Information Technology & Services",,,,Wilmington,DE,""
23-02-2022,"SAP Basis Architect",Comcentric,comcentric.com,"Information Technology & Services",,,,Wilmington,DE,""
23-02-2022,"SAP Basis Architect",Comcentric,comcentric.com,"Information Technology & Services",,,,Wilmington,DE,""
23-02-2022,"Associate Director/Director, Cell Culture Process Science","Investigo Life Sciences",investigocareers.com,,"From $160,000 a year",,,Wilmington,DE,"19803"
22-02-2022,"Project Surveyor",Pennoni,pennoni.com,Design,,,,Newark,DE,""
22-02-2022,"Executive Director","New Castle County Head Start, Inc.",,,"$75,000 - $100,000 a year",,,Newark,DE,"19702"
24-02-2022,"Engineering Project Manager","Formac Inc",formacinc.com,"Information Technology & Services","$28 - $67 an hour",,,Newark,DE,""
24-02-2022,"Engineering Project Manager","Formac Inc",formacinc.com,"Information Technology & Services","$28 - $67 an hour",,,Newark,DE,""
