DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-12-10,"Nursing Assistant, (General Medicine),FT,Days","Prisma Health",prismahealth.org,"Hospital & Health Care","$38.4k - $48.6k a year indeed est.",,,Greenville,SC,"29605"
2022-12-14,"Retail Customer Service Representative","Summit Retail Solutions",,,"$750 - $850 a week",,,Greenville,SC,""
2022-12-12,"Patient Registrar - St. Francis - Downtown - Full Time","Mercy Health",mercy.com,"Hospital & Health Care","$29.3k - $37.1k a year indeed est.",,,Greenville,SC,""
2022-12-10,Caregiver,Sevita,sevita.com,"Food Production",,,,Greenville,SC,""
2022-12-10,Caregiver,Sevita,sevita.com,"Food Production",,,,Greenville,SC,""
2022-12-09,"Patient Access Specialist, FT, Days","Prisma Health",prismahealth.org,"Hospital & Health Care","$32.3k - $40.9k a year indeed est.",,,Greenville,SC,"29605"
2022-12-11,FT-Cashier-Day,Lowe's,lowes.com,Retail,,,,Greenville,SC,"29609"
2022-12-11,"Haynsworth School Late-Stay Teacher","Haynsworth School",haynsworthprivate.com,"Primary/Secondary Education","$12 - $14 an hour",,,Greenville,SC,"29601"
2022-12-12,Baker,"Swamp Rabbit Cafe and Grocery",swamprabbitcafe.com,"Food & Beverages","from $14.50 an hour",,,Greenville,SC,"29611"
2022-12-10,"Document Curative Specialist","Shellpoint Mortgage Servicing",shellpointmtg.com,"Financial Services",,,,Greenville,SC,"29601"
2022-12-10,"Floating Teller-Greenville Antrim","South State Bank",plantationfederal.com,Banking,,,,Greenville,SC,"29607"
2022-12-10,"Greenville Client Support Specialist","Safe Harbor, Inc",,,"$24.6k - $31.1k a year indeed est.",,,Greenville,SC,"29601"
2022-12-10,Cashier,"Floor & Decor",flooranddecor.com,Retail,"from $15 an hour",,,Greenville,SC,"29615"
2022-12-09,"Assistant Teacher - Full Time","UU World of Children",uuwoc.com,,"$14 an hour",,,Greenville,SC,"29609"
2022-12-10,"TD SYNNEX Interest Application (Post Campus Engagement)","TD SYNNEX",,,"$17 - $25 an hour",,,Greenville,SC,"29610"
2022-12-10,"Floating Teller-Greenville Antrim","South State Bank",plantationfederal.com,Banking,,,,Greenville,SC,"29607"
2022-12-10,"Inventory Control Specialist I","Canon Business Process Services, Inc.",canon.com,"Consumer Electronics","$28.9k - $36.6k a year indeed est.",,,Greenville,SC,"29615"
2022-12-12,"Customer Services Representative","Circle K",circlek.com,Retail,"$21.7k - $27.4k a year indeed est.",,"Haynie-Sirrine area)",Greenville,SC,"29601"
2022-12-10,"Command Center Associate","Floor & Decor",flooranddecor.com,Retail,"from $15.15 an hour",,,Greenville,SC,"29615"
2022-12-10,"Assistant in Training",Buckle,buckleup.com,"Financial Services","$31.7k - $40.1k a year indeed est.",,,Greenville,SC,"29607"
2022-12-10,"Assistant Route Service Sales Representative (4-Day Workweek)",Cintas,cintas.com,"Facilities Services","$32.1k - $40.6k a year indeed est.",,,Greenville,SC,"29605"
2022-12-10,"Ophthalmic Technician","Clemson Eye",,,,,,Greenville,SC,"29615"
2022-12-11,"Full-time Sales Teammate",Buckle,buckleup.com,"Financial Services","$21.5k - $27.2k a year indeed est.",,,Greenville,SC,"29607"
2022-12-11,"Management Trainee Program",Buckle,buckleup.com,"Financial Services","$34.5k - $43.7k a year indeed est.",,,Greenville,SC,"29607"
2022-12-10,"Inventory Control Specialist I","Canon Business Process Services, Inc.",canon.com,"Consumer Electronics","$28.9k - $36.6k a year indeed est.",,,Greenville,SC,"29615"
2022-12-10,"Inventory Control Specialist I","Canon Business Process Services, Inc.",canon.com,"Consumer Electronics","$28.9k - $36.6k a year indeed est.",,,Greenville,SC,"29615"
2022-12-10,"Inventory Control Specialist I","Canon Business Process Services, Inc.",canon.com,"Consumer Electronics","$28.9k - $36.6k a year indeed est.",,,Greenville,SC,"29615"
2022-12-10,"Data Archive Specialist",KBR,kbr.be,Libraries,,,,Greenville,SC,""
2022-12-10,"Recycling Laborer","HWI Environmental Technologies, Inc.",hwienvironmental.com,"Environmental Services","$15 - $17 an hour",,,Greenville,SC,""
2022-12-11,"Class A Tanker & Hazmat Paid 300/Day Salary Run 14-Home 3-5 Days-86-106K/1st yr","Predator Transportation",,,"$300 a day",,,Greenville,SC,"29615"
2022-12-10,"Class A Regional Home Wkly-Run Southeast Only-95% No Touch Guaranteed Min","White Tail Transportation",,,"from $1,060 a week",,,Greenville,SC,"29615"
2022-12-10,"Warehouse Associate","Floor & Decor",flooranddecor.com,Retail,"from $15 an hour",,,Greenville,SC,"29615"
2022-12-10,"Retail Sales Associate","Floor & Decor",flooranddecor.com,Retail,"from $15 an hour",,,Greenville,SC,"29615"
2022-12-10,"Merchandise Assembly Team Member","Around the Clock Services",aroundtheclockservices.net,,"$15 - $30 an hour",,,Greenville,SC,"29607"
2022-12-10,"A Lineman - Overhead (Duke)","Pike Electric, Inc.",,,"$61.7k - $78.1k a year indeed est.",,,Greenville,SC,"29601"
2022-12-12,"Retail Operations Supervisor","Staples Stores",staplesconnect.com,"Business Supplies & Equipment",,,,Greenville,SC,"29601"
2022-12-12,QA/Expeditor,Chili's,chilisjobs.com,,"$25.5k - $32.2k a year indeed est.",,,Greenville,SC,"29607"
2022-12-10,"Phlebotomist Certified, Full Time -Day Shift","Prisma Health",prismahealth.org,"Hospital & Health Care","$37.4k - $47.4k a year indeed est.",,,Greenville,SC,"29605"
2022-12-12,"Customer Service Rep(05623) - 420 N. Pleasantburg Drive","Domino's Franchise",dominos.com,Restaurants,"$18.7k - $23.7k a year indeed est.",,,Greenville,SC,"29607"
2022-12-10,"Delivery Driver - Full Time - Laurens Rd","NAPA Auto Parts",douglasnapa.com,,"from $11.17 an hour",,"Nicholtown area)",Greenville,SC,"29607"
2022-12-10,Host,Chili's,chilisjobs.com,,"$22.4k - $28.4k a year indeed est.",,,Greenville,SC,"29607"
2022-12-10,Janitor,Chili's,chilisjobs.com,,"$22.2k - $28.1k a year indeed est.",,,Greenville,SC,"29607"
2022-12-12,"To Go",Chili's,chilisjobs.com,,"$25.9k - $32.8k a year indeed est.",,,Greenville,SC,"29607"
2022-12-12,"Respiratory Care Practitioner - System Flex","Mercy Health",mercy.com,"Hospital & Health Care",,,,Greenville,SC,""
2022-12-11,"Delivery Driver(05623) - 420-a N. Pleasantburg Drive","Domino's Franchise",dominos.com,Restaurants,"$23.8k - $30.1k a year indeed est.",,,Greenville,SC,"29607"
2022-12-12,Server,Chili's,chilisjobs.com,,"$39.4k - $49.9k a year indeed est.",,,Greenville,SC,"29607"
2022-12-12,"Assistant Manager(05623) - 420-a N. Pleasantburg Drive","Domino's Franchise",dominos.com,Restaurants,"$24.6k - $31.2k a year indeed est.",,,Greenville,SC,"29607"
2022-12-10,"Assistant Manager(05626) - 5600 Augusta Road","Domino's Franchise",dominos.com,Restaurants,"$24.6k - $31.2k a year indeed est.",,,Greenville,SC,"29605"
2022-12-09,"Registered Nurse (RN)-Acute Care-Rehabilitation Nursing-Full-Time-Night - Roger C. Peace Hospital (R","Prisma Health",prismahealth.org,"Hospital & Health Care","$60.6k - $76.7k a year indeed est.",,,Greenville,SC,"29605"
2022-12-11,Dishwasher,Chili's,chilisjobs.com,,"$23.9k - $30.2k a year indeed est.",,,Greenville,SC,"29607"
2022-12-10,Bartender,Chili's,chilisjobs.com,,,,,Greenville,SC,"29607"
2022-12-11,"Food Runner",Chili's,chilisjobs.com,,"$25.7k - $32.5k a year indeed est.",,,Greenville,SC,"29607"
2022-12-09,"Registered Nurse (RN) - Acute Care, Neuro ICU, FT, Night","Prisma Health",prismahealth.org,"Hospital & Health Care",,,,Greenville,SC,"29605"
2022-12-09,"Registered Nurse (RN) - Acute Care, Surgical Specialty, FT, Nights","Prisma Health",prismahealth.org,"Hospital & Health Care",,,,Greenville,SC,"29605"
2022-12-12,"SCANNER- WAREHOUSE ASSOCIATE","M@C Discount",,,"$13 - $15 an hour",,,Greenville,SC,"29607"
2022-12-14,"Driver that has own car - Greenville","ELife Transfer",,,"$150 - $300 a day",,,Greenville,SC,"29605"
