DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2/12/2022,"Counselor Assistant","University of Hawaii",hawaii.edu,"Higher Education","$21.73 - $23.05 an hour",,,Honolulu,HI,""
2/12/2022,"Flight Attendant","Southern Airways Corporation",iflysouthern.com,Airlines/Aviation,,,,Honolulu,HI,"96819"
2/12/2022,"Administrative Secretary - Philanthropy","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care","$31.9K ? $40.5K a year",,,Honolulu,HI,""
2/13/2022,"Accounting Associate","Olelo Community Media",olelo.org,"Broadcast Media","$41,000 a year",,,Honolulu,HI,"96819"
2/12/2022,"Customer Service Representative - Business Services","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care",,,,Honolulu,HI,""
2/12/2022,"Academic Support Specialist, Pos No. 0079161T","University of Hawaii",hawaii.edu,"Higher Education","$36K ? $45.6K a year",,,Honolulu,HI,""
2/11/2022,"Front Desk Representative",Revolusun,revolusun.com,"Renewables & Environment","$28.4K ? $36K a year",,,Honolulu,HI,""
2/11/2022,"Customer Care Coordinator","American Floor and Home",americanfloorandhome.com,Retail,,,,Honolulu,HI,"96819"
2/13/2022,"Development Specialist - Philanthropy","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care","$38.9K ? $49.3K a year",,,Honolulu,HI,""
2/11/2022,"Sales Consultant","American Floor and Home",americanfloorandhome.com,Retail,"$48,000 - $100,000 a year",,,Honolulu,HI,"96819"
2/12/2022,"RN - Nurse Educator","US Veterans Health Administration",va.gov,"Government Administration","$78,443 - $134,175 a year",,,Honolulu,HI,""
2/12/2022,"Associate Manager, Operations","Brookfield Properties",brookfieldproperties.com,"Real Estate","$48.1K ? $60.9K a year",,"Ala Moana-Kakaako area",Honolulu,HI,"96814"
2/12/2022,"Account Coordinator",Spectrum,spectrumvic.org.au,"Nonprofit Organization Management",,,,Honolulu,HI,""
2/14/2022,"Office Assistant","Jaco Rehab",,,"$28.9K ? $36.5K a year",,"Makiki-Lower Punchbowl-Tantalus area",Honolulu,HI,"96814"
2/13/2022,"Prince Resorts Hawaii: Accounts Payable Clerk (Full Time)","Prince Resorts Hawaii",princeresortshawaii.com,Hospitality,"$27.2K ? $34.4K a year",,"Waikiki area",Honolulu,HI,"96815"
