DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-05-18,"Government Badging & Credentialing Specialist (HSPD-12)",Citizant,citizant.com,"Information Technology & Services","$46.2K - $58.6K a year",,"State Capitol area",Jackson,MS,"39269"
2022-05-18,"Enterprise Medical Staff Analyst I - Remote","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,Remote,,"Remote in Jackson",MS,""
2022-05-17,"Biomedical Equipment Support Specialist (Biomedical Informat...","US Veterans Health Administration",va.gov,"Government Administration","$85,374 - $110,990 a year",,,Jackson,MS,""
2022-05-18,"CALL CENTER AGENT","U.S. Orthopaedic Partners",us-orthopartners.com,"Investment Management",,,"Greater Belhaven area",Jackson,MS,"39202"
2022-05-18,"Clinic Staff Nurse","Mississippi Sports Medicine & Orthopaedic Center",,,"$23 - $26 an hour",,"Greater Belhaven area",Jackson,MS,"39202"
2022-05-17,"Contract Administrator","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,,Jackson,MS,""
2022-05-18,"Desktop Investigator","CoventBridge Group",coventbridge.com,"Security & Investigations",,Remote,,"Remote in Jackson",MS,""
2022-05-18,"Call Center Agent","Mississippi Sports Medicine & Orthopaedic Center",,,"From $13 an hour",,"Greater Belhaven area",Jackson,MS,"39202"
2022-05-17,"Banquet Food Server","Hilton Jackson",,,,,,Jackson,MS,"39211"
2022-05-18,"Human Resource Assistant","Milwaukee Tool",milwaukeetool.com,"Consumer Goods",,,"Coalition of Homeowners Association area",Jackson,MS,"39209"
2022-05-18,"CLINIC STAFF NURSE","Mississippi Sports Medicine",mississippisportsmedicine.com,"Medical Practice","$60.3K - $76.3K a year",,"Greater Belhaven area",Jackson,MS,"39202"
2022-05-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Virden area",Jackson,MS,"39213"
2022-05-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Citizens Southwest area",Jackson,MS,"39212"
2022-05-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,,Jackson,MS,"39209"
2022-05-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Northbrook area",Jackson,MS,"39206"
2022-05-18,"Patient Access Data Integrity Specialist I- Registration Off...","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,,Jackson,MS,""
2022-05-18,"Technician-Central Sterile Supply - JS Surgery ISPD MBMC","Baptist Memorial Health",,,"$38.7K - $49.1K a year",,,Jackson,MS,""
2022-05-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,,Jackson,MS,"39211"
2022-05-17,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"Washington Addition area",Jackson,MS,"39204"
2022-05-17,GREETER,"Family Dollar",familydollar.com,Retail,,,"Washington Addition area",Jackson,MS,"39204"
2022-05-18,"Customer Service / Auto Lot Coordinator","United Recovery and Remarketing",unitedautorecovery.com,Automotive,"$25.3K - $32.1K a year",,,Jackson,MS,"39218"
2022-05-17,"Entry Level Advertising Account Manager Trainee","Reynolds and Reynolds",reyrey.com,"Computer Software","$60,000 a year",,"Gallatin Street area",Jackson,MS,"39201"
2022-05-18,"Phlebotomist - Central Lab Collections","The University of Mississippi Medical Center",umc.edu,"Hospital & Health Care",,,,Jackson,MS,""
2022-05-17,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,"Sunkist area",Jackson,MS,"39212"
2022-05-18,"Peer Support Specialist – I-CORT Program","Hinds Behavioral Health Services",hbhs9.com,"Mental Health Care","$29.3K - $37.1K a year",,"West Central Jackson area",Jackson,MS,"39209"
