DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-06-05,"Leasing Professional - Student Living","Greystar Real Estate Partners LLC",greystar.com,"Real Estate",,,,Honolulu,HI,""
2022-06-04,"Sales Agent","AAA Careers",,,,,"Liliha-Kapalama area",Honolulu,HI,"96817"
2022-06-04,"Benefits Specialist - Human Resources","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care","$45K - $57K a year",,,Honolulu,HI,""
2022-06-04,"Mortgage Loan Officer Retail","Castle & Cooke Mortgage",,,,,"Daniel K. Inouye International Airport area",Honolulu,HI,"96819"
2022-06-04,"Customer Service Representative- Hawaii-Accredo",Cigna,cigna.com,"Health, Wellness & Fitness",,,,Honolulu,HI,"96813"
2022-06-04,"Life Sales Agent","AAA Careers",,,"$65,000 - $75,000 a year",,"Liliha-Kapalama area",Honolulu,HI,"96817"
2022-06-04,"Hotel Concierge - Tours & Activities - OAHU","AAA Careers",,,"$18.75 an hour",,"Diamond Head-Kapahulu area",Honolulu,HI,"96815"
2022-06-04,"Sales Agent","AAA Careers",,,"$50,000 a year",,"Liliha-Kapalama area",Honolulu,HI,"96817"
2022-06-05,"Executive Assistant - Administration","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care","$48.5K - $61.3K a year",,,Honolulu,HI,""
2022-06-04,"Specialist, Compensation and Payroll - Human Resources","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care","$40K - $50.6K a year",,,Honolulu,HI,""
2022-06-04,"Sales Clerk","AAA Careers",,,,,"Liliha-Kapalama area",Honolulu,HI,"96817"
2022-06-04,"University Security Officer I, Pos.#900318 & 900768 & 900773","University of Hawaii",hawaii.edu,"Higher Education","$3,425 - $5,072 a month",,"Manoa area",Honolulu,HI,"96822"
2022-06-04,"Imaging Assistant - Imaging","Hawaii Pacific Health",hawaiipacifichealth.org,"Hospital & Health Care","$32.9K - $41.7K a year",,"Manoa area",Honolulu,HI,"96826"
2022-06-04,"CASHIER CUSTOMER SERVICE REPRESENTATIVE (CSR)","Big Island Candies",bigislandcandies.com,,,,"Ala Moana-Kakaako area",Honolulu,HI,"96814"
2022-06-05,"Customer Service Representative",Sysco,sysco.com,"Food & Beverages",,,,Honolulu,HI,"96814"
2022-06-05,"Retail Banker","PenFed Credit Union",penfed.org,"Financial Services",,,"Airport area",Honolulu,HI,"96818"
2022-06-04,"Educator - Full Time",Lululemon,lululemon.co.uk,"Apparel & Fashion",,,,Honolulu,HI,""
2022-06-05,"Residential Security Guard Apartments Full Time","Allied Universal®",,,,,,Honolulu,HI,"96819"
2022-06-04,Dispatcher,"ABM Industries",marriott.com,"Computer Software",,,"Daniel K. Inouye International Airport area",Honolulu,HI,"96819"
2022-06-04,"DISHWASHER (FULL-TIME)","FLIK Lifestyles",,,,,"Liliha-Kapalama area",Honolulu,HI,"96819"
2022-06-04,Lecturer,"University of Hawaii",hawaii.edu,"Higher Education",,,,Honolulu,HI,""
2022-06-04,"Breakfast Attendant",Hyatt,hyatt.com,Hospitality,,,"Waikiki area",Honolulu,HI,"96815"
2022-06-05,"Parking & Security Officer 1","The Arcadia Family of Companies",arcadia.org,"Hospital & Health Care","$28.9K - $36.5K a year",,"Manoa area",Honolulu,HI,"96822"
2022-06-05,"Zippy's Kaimuki - Utility","FCH Enterprises",,,"$23.5K - $29.7K a year",,"Palolo area",Honolulu,HI,"96816"
2022-06-04,CUSTODIAN,"Chugach Government Solutions",,,,,,Honolulu,HI,""
2022-06-05,"Registered Dietitian 2",Sodexo,sodexo.com,"Facilities Services",,,"Downtown area",Honolulu,HI,"96813"
2022-06-04,"BAKER (FULL TIME)","FLIK Lifestyles",,,,,"Liliha-Kapalama area",Honolulu,HI,"96819"
2022-06-05,"Delivery Driver",Graybar,graybar.com,Wholesale,"$16.50 an hour",,,Honolulu,HI,"96814"
2022-06-06,"Inbound Unloader",Sysco,sysco.com,"Food & Beverages",,,,Honolulu,HI,"96814"
2022-06-04,"Inbound Receiver - USBL - US",Sysco,sysco.com,"Food & Beverages",,,,Honolulu,HI,"96814"
2022-06-06,"Team Member - Royal Hawaiian Shop. Ctr.",Sbarro,,,,,"Waikiki area",Honolulu,HI,"96815"
2022-06-04,"GROUNDSKEEPER I - MAUI","State of Hawai'i",ehawaii.gov,"Government Administration",,,,Honolulu,HI,"96813"
2022-06-05,"Outbound Warehouse Supervisor - Oahu",Sysco,sysco.com,"Food & Beverages",,,,Honolulu,HI,"96814"
2022-06-04,"DISHWASHER (FULL-TIME)","FLIK Lifestyles",,,,,"Liliha-Kapalama area",Honolulu,HI,"96819"
2022-06-04,"Staff Nurse - Perioperative Training Program","Kaiser Permanente",socialsourcingnetwork.com,,,,,Honolulu,HI,""
2022-06-04,"FOOD SERVICE WORKER (FULL-TIME)","FLIK Lifestyles",,,,,"Liliha-Kapalama area",Honolulu,HI,"96819"
2022-06-04,"FOOD SERVICE WORKER (FULL-TIME)","FLIK Lifestyles",,,,,"Liliha-Kapalama area",Honolulu,HI,"96819"
2022-06-05,"Zippy's Kaimuki - Counter","FCH Enterprises",,,"$22.3K - $28.3K a year",,"Palolo area",Honolulu,HI,"96816"
2022-06-05,"Zippy's Kaimuki - Counter","FCH Enterprises",,,"$13 - $14 an hour",,"Palolo area",Honolulu,HI,"96816"
2022-06-04,"Inbound Warehouse Supervisor - USBL - US",Sysco,sysco.com,"Food & Beverages",,,,Honolulu,HI,"96814"
2022-06-04,"Team Member - Ala Moana",Sbarro,,,,,"Ala Moana-Kakaako area",Honolulu,HI,"96814"
2022-06-05,"Sterile Technician","The Phoenix Group",teamtpg.com,"Import & Export","$20 - $25 an hour",,"Makiki-Lower Punchbowl-Tantalus area",Honolulu,HI,"96814"
2022-06-04,"Loan Officer Trainee","Reverse Mortgage Funding",reversefunding.com,"Financial Services",,,"Makiki-Lower Punchbowl-Tantalus area",Honolulu,HI,"96822"
2022-06-04,"Property Association Manager","Hawaiiana Management",hmcmgt.com,"Information Technology & Services","From $55,000 a year",,"Ala Moana-Kakaako area",Honolulu,HI,"96813"
2022-06-04,Accountant,"Hawaiiana Management",hmcmgt.com,"Information Technology & Services","$43.3K - $54.9K a year",,"Ala Moana-Kakaako area",Honolulu,HI,"96813"
2022-06-04,"Cash Management Specialist","Hawaiiana Management",hmcmgt.com,"Information Technology & Services","$47.4K - $60K a year",,"Ala Moana-Kakaako area",Honolulu,HI,"96813"
2022-06-04,"Travel Advisor","AAA Hawaii",,,"From $19.23 an hour",,"Kalihi-Palama area",Honolulu,HI,"96817"
2022-06-04,"Accounts Receivable Clerk","Hawaiiana Management",hmcmgt.com,"Information Technology & Services","$38K - $48.2K a year",,"Ala Moana-Kakaako area",Honolulu,HI,"96813"
2022-06-04,"Outside Member Service Specialist (FT)","Oahu Country Club",oahucountryclub.com,"Recreational Facilities & Services",,,"Liliha-Kapalama area",Honolulu,HI,"96817"
2022-06-04,"Tile Setter",SageWater,sagewater.com,Construction,"$800 - $1,500 a week",,,Honolulu,HI,""
2022-06-04,"Office Services Assistant","Hawaiiana Management",hmcmgt.com,"Information Technology & Services","$28.5K - $36.1K a year",,"Ala Moana-Kakaako area",Honolulu,HI,"96813"
2022-06-04,"Archaeologist - Field Tech with Writing skills","Scientific Consultant Services, Inc.",,,"$16 - $26 an hour",,"Ala Moana-Kakaako area",Honolulu,HI,"96814"
2022-06-04,"Talent Acquisition Specialist","The Care Center of Honolulu",ccoh.us,"Hospital & Health Care","From $15 an hour",,"Liliha-Kapalama area",Honolulu,HI,"96817"
2022-06-05,"Surveyor / Relocation Consultant","The Dewitt Companies",dewittmove.com,Transportation/Trucking/Railroad,"$29K - $36.8K a year",,,Honolulu,HI,"96819"
2022-06-05,"Office Assistant","Waikiki Beach Activities",waikikibeachactivities.com,Maritime,"From $14 an hour",,"Waikiki area",Honolulu,HI,"96815"
