DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-13,"Front Office Representative","Banner Health",bannerhealth.com,"Hospital & Health Care",,,"Maryvale area",Phoenix,AZ,"85037"
2022-03-12,"Student Services Counselor - Online Division - Grand Canyon...","Grand Canyon Education",gce.com,"Education Management","$43,000 a year",Remote,,"Hybrid remote in Phoenix",AZ,"85017"
2022-03-14,"Security Site Manager","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Phoenix,AZ,""
2022-03-12,"Customer Service Representative",Cognizant,,,,,,Phoenix,AZ,""
2022-03-12,"Customer Service Representative","Cognizant Technology Solutions",cognizant.com,"Information Technology & Services",,,,Phoenix,AZ,""
2022-03-12,"Technical Security Specialist","JPMorgan Chase Bank, N.A.",chase.com,"Financial Services",,,,Phoenix,AZ,""
2022-03-13,"Real Estate Representative","Clear Channel Outdoor",clearchanneloutdoor.com,"Marketing & Advertising",,,"Camelback East area",Phoenix,AZ,"85016"
2022-03-13,"Patient Access Services Representative","Banner Health",bannerhealth.com,"Hospital & Health Care",,,"Maryvale area",Phoenix,AZ,"85037"
2022-03-13,"PROGRAM SPECIALIST","State of Arizona",az.gov,"Government Administration","$21.65 an hour",,"Central City area",Phoenix,AZ,"85007"
2022-03-12,"Restaurant Supervisor","Holiday Inn & Suites Phoenix Airport",,,,,"Camelback East area",Phoenix,AZ,"85008"
2022-03-12,"Appeals Analyst - Work From Home","UnitedHealth Group",unitedhealthgroup.com,"Hospital & Health Care",,Remote,,"Remote in Phoenix",AZ,"85002"
2022-03-12,"EXECUTIVE STAFF ASSISTANT","State of Arizona",az.gov,"Government Administration","$50,000 - $60,000 a year",,"Central City area",Phoenix,AZ,"85007"
2022-03-11,"HR Business Partner I","Amazon.com Services LLC",amazon.com,Internet,,,,Phoenix,AZ,""
2022-03-13,"MA Customer Service Team Lead","Blue Cross Blue Shield of Arizona",azblue.com,Insurance,"$29.2K – $37K a year",,,Phoenix,AZ,""
2022-03-12,"LVR Specialist - Phoenix, AZ",CHEP,chep.com,"Logistics & Supply Chain","From $18 an hour",Remote,,"Hybrid remote in Phoenix",AZ,"85001"
2022-03-14,"General Manager","Life Time",mylifetime.com,"Broadcast Media",,,,Phoenix,AZ,""
2022-03-12,"Workforce Deputy Administrator","State of Arizona",az.gov,"Government Administration",,,"Central City area",Phoenix,AZ,"85007"
2022-03-14,"Outpatient Coder Abrazo","Staff Abrazo Medical Group",abrazomedicalgroup.com,"Hospital & Health Care",,,,Phoenix,AZ,""
