DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-06-01,"Entry Level Outside Sales Trainee","Reynolds and Reynolds",reyrey.com,"Computer Software","$60,000 a year",,,Lafayette,LA,"70501"
2022-06-02,"Radio Host/ News Anchor for KPEL-FM","Townsquare Media",townsquaremedia.com,"Marketing & Advertising",,,,Lafayette,LA,""
2022-06-02,"R&D Process Technician","Stuller, Inc.",stuller.com,"Luxury Goods & Jewelry","$40.9K - $51.7K a year",,,Lafayette,LA,"70508"
2022-06-02,"Railcar Repair (Carman)- Lafayette, LA",BNSF,bnsf.com,Transportation/Trucking/Railroad,"$27.75 - $33.03 an hour",,,Lafayette,LA,"70501"
2022-06-02,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,,Lafayette,LA,"70508"
2022-06-02,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,,Lafayette,LA,"70507"
2022-06-01,"Reimbursement Specialist","Cardiology Specialists of Acadiana",cardioacadiana.com,"Hospital & Health Care",,,,Lafayette,LA,"70508"
2022-06-02,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,,Lafayette,LA,"70506"
2022-06-02,"Food Service Worker 1 (Full Time) - Main Campus Dietary","Franciscan Missionaries of Our Lady Health System",fmolhs.org,"Hospital & Health Care",,,,Lafayette,LA,"70508"
2022-05-31,"To Go",Chilis,chilis.com,Restaurants,,,,Lafayette,LA,"70507"
2022-05-31,"To Go",Chilis,chilis.com,Restaurants,,,,Lafayette,LA,"70508"
2022-06-02,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,,Lafayette,LA,"70501"
2022-06-01,"Retail Store Supervisor","Burlington Stores",burlingtonstores.jobs,,,,,Lafayette,LA,"70501"
2022-06-02,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,,Lafayette,LA,"70501"
2022-06-01,"Collection Receivable Clerk","Viemed, LLC",,,"$26.8K - $34K a year",,,Lafayette,LA,"70508"
2022-06-02,"Clinic Team Lead - OUHC ENT Clinic - Full Time","Ochsner Health System",ochsner.org,"Hospital & Health Care",,,,Lafayette,LA,""
2022-06-02,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,,Lafayette,LA,"70506"
2022-06-01,"Retail Counter Sales","O'Reilly Auto Parts",oreillyauto.com,Retail,,,,Lafayette,LA,"70501"
2022-06-02,"Food Runner",Chilis,chilis.com,Restaurants,,,,Lafayette,LA,"70508"
2022-06-02,"Food Runner",Chilis,chilis.com,Restaurants,,,,Lafayette,LA,"70507"
2022-06-02,"ASSISTANT STORE MANAGER","Family Dollar",familydollar.com,Retail,,,,Lafayette,LA,"70507"
2022-06-02,"Custom Home Technical Specialist (Lafayette)","Geek Squad",geeksquad.com,"Information Technology & Services",,,,Lafayette,LA,"70503"
2022-05-31,Host,Chilis,chilis.com,Restaurants,,,,Lafayette,LA,"70507"
2022-06-01,"Retail Merchandise Specialist (MVR Required)","O'Reilly Auto Parts",oreillyauto.com,Retail,,,,Lafayette,LA,"70503"
2022-06-01,"Entry Level Advertising Account Manager Trainee","Reynolds and Reynolds",reyrey.com,"Computer Software","$60,000 a year",,,Lafayette,LA,"70501"
2022-05-31,Bartender,Chilis,chilis.com,Restaurants,,,,Lafayette,LA,"70508"
2022-06-01,"Parts Delivery","O'Reilly Auto Parts",oreillyauto.com,Retail,,,,Lafayette,LA,"70503"
2022-05-31,"To Go",Chilis,chilis.com,Restaurants,,,,Lafayette,LA,"70508"
2022-05-31,Host,Chilis,chilis.com,Restaurants,,,,Lafayette,LA,"70508"
2022-06-01,"Inventory Warehouse Worker - Superior Completion Services","Superior Energy Services, L.L.C.",,,"$29.5K - $37.3K a year",,,Lafayette,LA,"70508"
2022-06-02,"Food Runner",Chilis,chilis.com,Restaurants,,,,Lafayette,LA,"70508"
2022-06-02,Laundry,"Courtyard by Marriott | Kinseth Hospitality",,,"From $12 an hour",,,Lafayette,LA,"70508"
2022-05-31,Janitor,Chilis,chilis.com,Restaurants,,,,Lafayette,LA,"70508"
2022-06-02,"Patient Access Rep - OUHC Central Clinic - Full Time","Ochsner Health System",ochsner.org,"Hospital & Health Care",,,,Lafayette,LA,""
2022-06-02,"Night Auditor","Fairfield Inn Lafayette",,,"$20.7K - $26.3K a year",,,Lafayette,LA,"70508"
