DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-03-20,"Associate Partner, Human Resources","Amazon.com Services LLC",amazon.com,Internet,,,,Charlotte,NC,""
2022-03-22,"Patient Services Coordinator III","Novant Health",qdvc.com,Construction,,,"Yorkshire area",Charlotte,NC,"28273"
2022-03-22,"Generalist-Human Resources","Marriott International, Inc",,,,,"First Ward area",Charlotte,NC,"28202"
2022-03-20,"Recruiting Associate Military Apprentice","WELLS FARGO BANK",wellsfargo.com,"Financial Services",,,,Charlotte,NC,""
2022-03-20,"Ticket/Gate Agent (Seasonal) - CLT",Delta,deltacompanies.com,,,,"Griers Fork area",Charlotte,NC,"28273"
2022-03-22,"Human Resources Generalist","Marriott International, Inc",,,,,"First Ward area",Charlotte,NC,"28202"
2022-03-19,"Pharmacy Technician / Pharm Tech Apprenticeship",WALGREENS,walgreens.com,Retail,,,"Carmel area",Charlotte,NC,"28226"
2022-03-22,"FT-Scheduling Staffing Admin-Day",Lowe's,lowes.com,Retail,,,"Piper Glen Estates area",Charlotte,NC,"28277"
2022-03-22,"Boarding Attendant (Kennel Attendant)","Animal Medical Hospital",animalmedical.net,Veterinary,"$21.8K ? $27.6K a year",,"Echo Hills area",Charlotte,NC,"28205"
2022-03-22,"Recruiting Coordinator",Barings,barings.com,"Financial Services","$42.2K ? $53.4K a year",,,Charlotte,NC,""
2022-03-20,"Switchboard Operator","Novant Health",qdvc.com,Construction,,,"Elizabeth area",Charlotte,NC,"28204"
2022-03-22,"Manager, Client Services",NASCAR,nascar.com,Sports,"$53.9K ? $68.3K a year",,,Charlotte,NC,""
2022-03-20,"MMP Breast Diagnostic - Breast Navigator","Charlotte Radiology - US Radiology Specialists",charlotteradiology.com,"Hospital & Health Care","$32.7K ? $41.5K a year",,,Charlotte,NC,""
2022-03-22,"Unit Secretary FT Night","Atrium Health",atriumhealth.org,"Hospital & Health Care",,,"Dilworth area",Charlotte,NC,"28203"
2022-03-22,"Care Connections Project Coordinator","Novant Health",qdvc.com,Construction,,,"Myers Park area",Charlotte,NC,"28207"
2022-03-22,"Customer Experience Associate (FT)","Avis Budget Group",avisbudgetgroup.com,"Leisure, Travel & Tourism","$12.50 an hour",,"Charlotte Douglas International Airport area",Charlotte,NC,"28208"
2022-03-22,"Auditor I Retail","NSF International",nsf.org,"Public Safety","$30.5K ? $38.7K a year",,,Charlotte,NC,""
2022-03-22,"Operations Analyst (Commercial Loans) Global Operations","Bank of America",appianrx.com,"Hospital & Health Care",,,"Third Ward area",Charlotte,NC,"28202"
2022-03-22,"Product Support (Set Shift - $15/hr)","Five Star Call Centers",fivestarcallcenters.com,Outsourcing/Offshoring,"$15 an hour",Remote,,"Remote in Charlotte",NC,"28202"
2022-03-22,"Product Support (Set Shift - Day Hours)","Five Star Call Centers",fivestarcallcenters.com,Outsourcing/Offshoring,"$13 an hour",Remote,,"Remote in Charlotte",NC,"28202"
