DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
2022-02-18,"Patient Transport","Phoenix Children's Hospital",phoenixchildrens.com,"Hospital & Health Care",,,,Phoenix,AZ,""
2022-02-19,"Health Technician (Podiatry)","US Veterans Health Administration",va.gov,"Government Administration","$42,734 - $53,129 a year",,,Phoenix,AZ,""
2022-02-20,"Entry Level Sales Representative*","Power Home Remodeling",powerhrg.com,"Consumer Services",,,,Phoenix,AZ,""
2022-02-18,"Van Driver - Day Shift","Valley Hospital",valleyhospital-phoenix.com,"Mental Health Care",,,"Camelback East area",Phoenix,AZ,""
2022-02-19,"IT Developer + Apprentice","New Apprenticeship",newapprenticeship.com,"Education Management","$35,000 - $45,000 a year",Remote,,"Remote in Phoenix",AZ,""
2022-02-18,"Customer Care Associate - New Product",Opendoor,opendoor.com,"Real Estate",,,,Phoenix,AZ,""
2022-02-18,"Inbound Call Center Representative",TSYS,,,"$16.25 - $17.00 an hour",,,Phoenix,AZ,""
2022-02-19,"Customer Service Rep","Corporate Service Center",corporateservicecenter.com,"Legal Services",,,"Alhambra area",Phoenix,AZ,"85012"
2022-02-19,"Health Unit Coordinator","Phoenix Children's Hospital",phoenixchildrens.com,"Hospital & Health Care",,,,Phoenix,AZ,""
2022-02-19,"Customer Assistance Representative","American Airlines",aa.com,Airlines/Aviation,,,"Phoenix Sky Harbor International Airport area",Phoenix,AZ,"85034"
2022-02-19,"ASSISTANT CASE MANAGER (“CASE AIDE”)","State of Arizona",az.gov,"Government Administration","$15.77 an hour",,"Encanto area",Phoenix,AZ,"85016"
2022-02-18,"REHABILITATION SERVICES TECHNICIAN","State of Arizona",az.gov,"Government Administration","$13.52 an hour",,"Camelback East area",Phoenix,AZ,"85034"
2022-02-19,"Customer Claims Specialist","CRS Temporary Housing",crsth.com,Insurance,"$17 an hour",Remote,,"Remote in Phoenix",AZ,""
